Título,Autor,"Preçode capa","P   r eço comdesconto"
A esposa do fazendeiro,"Shah, Idries (Autor), Wirkala, Karen (","uRt$o r ) ,  3G0o,0m0e",",R C$e  ls1 o5 ,(0A0ut"
A sabedoria dos idiotas,"Shah, Idries (Autor), Grillo, Julia (Aut","rR) $    43,00","R$  2 1,50"
Beirute noir,"Samra, Tarek Abi (Autor), Baydun, B","nRa$ ( A  u 7t1o,r0),0","aRra$k a t3 , 5N,5aj0w"
Buscador da verdade,"Shah, Idries (Autor), Grillo, Julia (Aut","rR) $    49,00","R$  2 4,50"
Correio noturno,"Barakat, Hoda (Autor)","R$    52,00","R$  2 6,00"
Da presença da ausência,"Darwich, Mahmud (Autor)","R$    52,00","R$  2 6,00"
E quem é Meryl Streep?,"Al-Daif, Rachid (Autor)","R$    63,00","R$  3 1,50"
Istambul Istambul,"Sönmez, Burhan (Autor)","R$    68,00","R$  3 4,00"
Madona com casaco de pele,"Ali, Sabahattin (Autor)","R$    63,00","R$  3 1,50"
Memória para o esquecimento,"Darwich, Mahmud (Autor)","R$    63,00","R$  3 1,50"
O arador das águas,"Barakat, Hoda (Autor)","R$    64,00","R$  3 2,00"
O homem que se comportava mal,"Shah, Idries (Autor), Wirkala, Karen (","uRt$o r ) ,  3G0o,0m0e",",R C$e  ls1 o5 ,(0A0ut"
Onze astros,"Darwich, Mahmud (Autor)","R$    53,00","R$  2 6,50"
Poema dos árabes,Chânfara (Autor),"R$    62,00","R$  3 1,00"
Por que não escrevi nenhum de meus livros,"Bénabou, Marcel (Autor), Alencar, An","R D$e   ( A3u6,t0o0r)","R$  1 8,00"
Reflexões,"Shah, Idries (Autor), Voss, Nicolas (A","tRo$r)    37,00","R$  1 8,50"
Uma história inventada do começo ao fim,"Nimer, Sonia (Autor)","R$    48,00","R$  2 4,00"
Yunis,"Naser, Amal (Autor)","R$    48,00","R$  2 4,00"
"",,,
