7 mejores cuentos - Costa Rica,"Carlos Gagini, Carmen Lyra, Rafael Angel Troyo, Manuel González Magón,Ricardo Fernández Guardia","R$  19,90","R$    9,90"
7 mejores cuentos - México,"Amado Nervo, Alberto Leduc, Bernardo Couto Castillo, Carlos Díaz Dufoo, EfrénRebolledo, Justo Sierra Méndez","R$  19,90","R$    9,90"
7 mejores cuentos de Emilia Pardo Bazán,Emilia Pardo Bazán,"R$  19,90","R$    9,90"
7 best short stories - Cats,"Saki (H.H. Munro), Edgar Allan Poe, Mary E. Wilkins Freeman, Banjo Paterson,Anton Chekhov","R$  24,90","R$  12,45"
7 best short stories by Virginia Woolf,Virginia Woolf,"R$  24,90","R$  12,45"
7 mejores cuentos - España II,"Antonio de Trueba, Arturo Reyes, Emilia Pardo Bazán, Gustavo Adolfo Bécquer,Joaquín Dicenta, Regina Alcaide de Zafra, Pedro de Répide","R$  24,90","R$  12,45"
7 mejores cuentos - Mujeres,"Carmen Lyra, Soledad Acosta de Samper, Adela Zamudio, Julia de Asensi,Regina Alcaide de Zafra, Juana Manuela Gorriti, Emilia Pardo Bazán","R$  24,90","R$  12,45"
7 mejores cuentos - Perú,"Luis Benjamín Cisneros, Abraham Valdelomar, César Vallejo, Felipe Pardo yAliaga, Clemente Palma, José Diez-Canseco, Ricardo Palma","R$  24,90","R$  12,45"
7 mejores cuentos - Uruguay,"Horacio Quiroga, José Enrique Rodó, Felisberto Hernández, Eduardo AcevedoDíaz, Javier de Viana","R$  24,90","R$  12,45"
7 mejores cuentos de Horacio Quiroga,Horacio Quiroga,"R$  24,90","R$  12,45"
7 melhores contos - Brasil,"Machado de Assis, Lima Barreto, João do Rio, João Simões Lopes Neto, JúliaLopes de Almeida, Alcântara Machado","R$  24,90","R$  12,45"
7 Melhores Contos - Escritoras Brasileiras e Portuguesas,"Júlia Lopes de Almeida, Maria Firmina dos Reis, Florbela Espanca, Ana deCastro Osório, Maria Amália Vaz de Carvalho, Délia, Carmen Dolores","R$  24,90","R$  12,45"
7 melhores contos de Humberto de Campos,Humberto de Campos,"R$  24,90","R$  12,45"
7 melhores contos de Júlia Lopes de Almeida,Júlia Lopes de Almeida,"R$  24,90","R$  12,45"
7 best short stories - Dogs,"Mary E. Wilkins Freeman, Susan Glaspell, Stephen Crane, Ivan Turgenev, O.Henry, Jack London, Mark Twain","R$  29,90","R$  14,90"
7 best short stories - Iceland,"Steigrumur J. Porsteinsson, Einar H. Kvaran, Jón Trausti, Gunnar Gunnarsson,Steingrímur J. Þorsteinsson","R$  29,90","R$  14,90"
7 best short stories by Mark Twain,Mark Twain,"R$  29,90","R$  14,90"
7 mejores cuentos - Argentina,"Roberto Arlt, Roberto Payró, Leopoldo Lugones, Fray Mocho, Ricardo Güiraldes","R$  29,90","R$  14,90"
7 mejores cuentos - Bolivia,"Adela Zamudio, Ricardo Jaimes Freyre, Alcides Arguedas, Julio Lucas Jaimes,Antonio Díaz Villamil, Juan Francisco Bedregal","R$  29,90","R$  14,90"
7 mejores cuentos - Cuba,"Rubén Martínez Villena, Gertrudis Gómez de Avellaneda, Jesús Castellanos,Esteban Borrero Echeverría, Alfonso Hernández Catá","R$  29,90","R$  14,90"
7 mejores cuentos - España I,"Joaquín Dicenta, José Ortega Munilla, Juan Valera, Julia de Asensi, LeopoldoAlas, Teodoro Baró, Vicente Blasco Ibáñez","R$  29,90","R$  14,90"
7 melhores contos de Fernando Pessoa,Fernando Pessoa,"R$  29,90","R$  14,90"
7 best short stories - Russian Authors,"Leo Tolstoy, Leonid Andreyev, Maxim Gorky, Fyodor Dostoevsky, AntonChekhov, Alexander Pushkin, Nikolai Gogol","R$  34,90","R$  17,45"
7 best short stories - Western,"Jack London, Willa Cather, Stephen Crane, O. Henry, Zane Grey, Max Brand,Bret Harte","R$  34,90","R$  17,45"
7 best short stories by Agatha Christie,Agatha Christie,"R$  34,90","R$  17,45"
7 best short stories by James Joyce,James Joyce,"R$  34,90","R$  17,45"
7 mejores cuentos de H. P. Lovecraft,H. P. Lovecraft,"R$  34,90","R$  17,45"
7 mejores cuentos de León Tolstói,León Tolstói,"R$  34,90","R$  17,45"
7 best short stories - Arsène Lupin,Maurice Leblanc,"R$  39,90","R$  19,90"
7 best short stories - Feminist fiction,"Charlotte Perkins Gilman, Edith Nesbit, Edith Wharton, Susan Glaspell,Katherine Mansfield, Kate Chopin, Gertrude Stein","R$  39,90","R$  19,90"
7 best short stories by Edgar Allan Poe,Edgar Allan Poe,"R$  39,90","R$  19,90"
7 best short stories by Jack London,Jack London,"R$  39,90","R$  19,90"
7 best short stories by Leo Tolstoy,Leo Tolstoy,"R$  39,90","R$  19,90"
7 melhores contos de Eça de Queirós,Eça de Queirós,"R$  39,90","R$  19,90"
7 melhores contos de Machado de Assis,Machado de Assis,"R$  39,90","R$  19,90"
7 best short stories - Christmas,"Hans Christian Andersen, Charles Dickens, Mary E. Wilkins Freeman, Henry vanDyke, Stephen Leacock, Leo Tolstoy, O. Henry","R$  44,90","R$  22,45"
7 best short stories - Horror,"H. P. Lovecraft, Edgar Allan Poe, Edith Wharton, Amelia B. Edwards, CharlesDickens, Washington Irving, W. W. Jacobs","R$  44,90","R$  22,45"
7 best short stories by Arthur Conan Doyle,Arthur Conan Doyle,"R$  44,90","R$  22,45"
7 best short stories - Ghost Stories,"Sheridan Le Fanu, Saki Elizabeth Gaskell, M. R. James, Lafcadio Hearn, O.Henry, Rudyard Kipling","R$  49,90","R$  29,90"
7 best short stories - Sherlock Holmes,Arthur Conan Doyle,"R$  49,90","R$  29,90"
7 best short stories by H. P. Lovecraft,H. P. Lovecraft,"R$  49,90","R$  29,90"
7 best short stories - Occult Detective,"William Hope Hodgson, Sheridan Le Fanu, H. and E. Heron, Alice Askew","R$  59,90","R$  29,90"
7 best short stories by Charles Dickens,Charles Dickens,"R$  59,90","R$  29,90"
7 best short stories by Katherine Mansfield,Katherine Mansfield,"R$  59,90","R$  29,90"
7 best short stories - Victorian Fairy tales,"Oscar Wilde, Dinah Craik, John Ruskin, Edith Nesbit, Kenneth Grahame, GeorgeMacDonald","R$  69,90","R$  34,90"
Essential Novelists - George Orwell,George Orwell,"R$  74,90","R$  37,45"
7 best short stories - Classic Erotica,"Edith Wharton, Longus, Guy de Maupassant","R$  79,90","R$  39,90"
7 best short stories by Fyodor Dostoevsky,Fyodor Dostoevsky,"R$  79,90","R$  39,90"
3 books to know - Totalitarian Dystopias,"George Orwell, Ayn Rand, Yevgeny Zamyatin","R$  99,90","R$  49,90"
