Título,Autor(es) / Organizador(es),Preço,Preço
"",,capa,Feira
A longa noite de Cristal,Oduvaldo Vianna Filho; Maria Silvia Betti (Org.),"R$ 45,00","R$ 22,50"
"",,"R$ 58,00","R$ 29,00"
"Eu, Ota, rio de Hiroshima",Jean-Paul Alègre,,
Lugar nenhum,Sérgio de Carvalho; Companhia do Latão (Colab.),"R$ 48,00","R$ 24,00"
O pão e a pedra,Sérgio de Carvalho; Companhia do Latão (Colab.),"R$ 60,00","R$ 30,00"
O poder do sim,David Hare,"R$ 60,00","R$ 30,00"
Os que ficam,Sérgio de Carvalho; Companhia do Latão (Colab.),"R$ 52,00","R$ 26,00"
Papa Highirte,Oduvaldo Vianna Filho; Maria Silvia Betti (Org.),"R$ 45,00","R$ 22,50"
Praça dos Heróis,Thomas Bernhard,"R$ 60,00","R$ 30,00"
Rasga coração - Edição especial,Oduvaldo Vianna Filho; Maria Silvia Betti (Org.),"R$ 65,00","R$ 32,50"
Três peças da Companhia do Latão,Sérgio de Carvalho; Companhia do Latão (Colab.),"R$ 145,00","R$ 72,50"
Trilogia do reencontro,Botho Strauss,"R$ 72,00","R$ 36,00"
Corpo a corpo,Oduvaldo Vianna Filho; Maria Silvia Betti (Org.),"R$ 52,00","R$ 26,00"
Mão na luva,Oduvaldo Vianna Filho; Maria Silvia Betti (Org.),"R$ 56,00","R$ 28,00"
Moço em estado de sítio,Oduvaldo Vianna Filho; Maria Silvia Betti (Org.),"R$ 56,00","R$ 28,00"
