24/07 – Capitalismo tardio e fins do sono,Jonathan Crary,"59,90",50%,"29,95"
"Jacaré, não!",Antonio Prata,"54,90",50%,"27,45"
Supermacho,Alfred Jarry,"69,90",50%,"34,95"
Casa Butantã,Catherine Otondo,"109,00",50%,"54,50"
"Complexo arte-arquitetura, O",Hal Foster,"74,90",50%,"37,45"
"Retorno do real, O",Hal Foster,"69,90",50%,"34,95"
"Sociedade contra o estado, A",Pierre Clastres,"64,90",50%,"32,45"
Sociologia e antropologia,Marcel Mauss,"99,00",50%,"49,50"
Sobre o sacrifício,Henri Hubert e Marcel Mauss,"54,90",50%,"27,45"
Inconstância da alma selvagem,Eduardo Viveiros de Castro,"89,90",50%,"44,95"
Cultura com aspas,Manuela Carneiro da Cunha,"89,90",50%,"44,95"
"mundo codificado, O",Vilém Flusser,"69,90",50%,"34,95"
Antropologia estrutural,Claude Lévi-Strauss,"89,90",50%,"44,95"
"invenção da cultura, A",Roy Wagner,"64,90",50%,"32,45"
Antropologia estrutural dois,Claude Lévi-Strauss,"85,00",50%,"42,50"
Bartleby,Herman Mellvile,"64,90",50%,"32,45"
Reinvenção da intimidade,Christian Dunker,"69,90",50%,"34,95"
Políticas do sexo,Gayle Rubin,"59,90",50%,"29,95"
Macunaíma,Mario de Andrade,"89,90",50%,"44,95"
"efeito etnográfico, O",Marilyn Strathern,"89,90",50%,"44,95"
Sor Juana,Octavio Paz,"139,00",50%,"69,50"
Pecados secretos da economia,Deirdre McCloskey,"54,90",50%,"27,45"
Poema-piada,Gregório Duvivier,"44,00",50%,"22,00"
Metafísicas canibais,Eduardo Viveiros de Castro,"64,90",50%,"32,45"
"que é o cinema?, O",André Bazin,"74,90",50%,"37,45"
"Performance, recepção, leitura",Paul Zumthor,"54,90",50%,"27,45"
"Esperando Foucault, ainda",Marshall Sahlins,"54,90",50%,"27,45"
Desobedecer,Frédéric Gros,"59,90",50%,"29,95"
Arte e agência,Alfred Gell,"79,90",50%,"39,95"
Argonautas do pacífico ocidental,Bronisław Malinowski,"139,00",50%,"69,50"
"origem das espécies, A",Charles Darwin,"129,00",50%,"64,50"
Dentro do nevoeiro,Guilherme Wisnik,"79,90",50%,"39,95"
Ai Weiwei Raiz,Marcello Dantas,"120,00",50%,"60,00"
Natureza das coisas,Pedro Motta,"109,00",50%,"54,50"
Odisseia,Homero,"139,00",50%,"69,50"
Ilíada,Homero,"139,00",50%,"69,50"
Big Tech,Evgeny Morozov,"64,90",50%,"32,45"
"menina que morava no chuveiro, A",Antonio Prata,"54,90",50%,"27,45"
Popol Vuh,Josely Vianna Baptista,"129,00",50%,"64,50"
Depois do Futuro,Franco Berardi,"64,90",50%,"32,45"
"Guia Pussy Riot para o ativismo, um",Nadya Tolokonnikova,"59,90",50%,"29,95"
"Sertões, os – 2a. ed.",Euclides da Cunha,"129,00",50%,"64,50"
Coração das trevas,Joseph Conrad,"99,00",50%,"49,50"
Revolução das Plantas,Stefano Mancuso,"59,90",50%,"29,95"
"Petrogrado, Xangai",Alain Badiou,"54,90",50%,"27,45"
"brincar e a realidade, O",Donald Winnicott,"69,90",50%,"34,95"
Efratia Gitai – em tempos como estes,Amos Gitai,"69,90",50%,"34,95"
"Cidade inteligente, A",Evgeny Morozov e Francesca Bria,"54,90",50%,"27,45"
Chamamento ao povo brasileiro,Carlos Marighella,"69,90",50%,"34,95"
"Guerrilheiras, As",Monique Wittig,"54,90",50%,"27,45"
Hamlet,Bruna Beber,"99,00",50%,"49,50"
Rousseau - Escritos sobre a política e as artes,Pedro Paulo Pimenta,"129,00",50%,"64,50"
Asfixia,Franco Berardi,"59,90",50%,"29,95"
IAC – 20 anos,Frantz Fanon,"99,00",50%,"49,50"
Políticas do design,Ruben Pater,"59,90",50%,"29,95"
Um feminismo Decolonial,Françoise Vergès,"54,90",50%,"27,45"
Bebês e suas mães,Donald Winnicott,"59,90",50%,"29,95"
Alienação e Liberdade – escritos psiquiátricos,Frantz Fanon,"79,90",50%,"39,95"
Diante de Gaia,Bruno Latour,"89,90",50%,"44,95"
Sou sua irmã,Audre Lorde,"64,90",50%,"32,45"
Amigos Fumantes,João Loureiro,"99,00",50%,"49,50"
Sociedade ingovernável,Grégoire Chamayou,"79,90",50%,"39,95"
Autodefesa – Uma filosofia da violência,Elsa Dorlin,"69,90",50%,"34,95"
Extremo: crônicas da psicodeflação,Franco Berardi,"59,90",50%,"29,95"
"Pele negra, máscaras brancas",Frantz Fanon,"69,90",50%,"34,95"
Tecnodiversidade,Yuk Hui,"64,90",50%,"32,45"
"Esconde, esconde",Antonio Parta,"54,90",50%,"27,45"
O que vem depois da farsa?,Hal Foster,"59,90",50%,"29,95"
Guerras e capital,Éric Alliez e Maurizio Lazzarato,"94,00",50%,"47,00"
A planta do mundo,Stefano Mancuso,"59,90",50%,"29,95"
Mulheres de Tijucopapo,Marilene Felinto,"59,90",50%,"29,95"
Princípio ativo,Rubens Mano,"130,00",50%,"65,00"
Ana Prata,Ana Prata,"130,00",50%,"65,00"
Genética neoliberal,Susan McKinnon,"59,90",50%,"29,95"
"Sexo, gênero e sexualidades",Elsa Dorlin,"54,90",50%,"27,45"
Winnicott: Experiência e paradoxo,Tales Ab'Sáber,"49,90",50%,"24,95"
Tudo começa em casa,Donald Winnicott,"69,90",50%,"34,95"
