1 de abril,"Martos, Cloder Rivas","R$     37,00","R$   18,50"
"#400VezesCaboFrio","Barreto Júnior, Ivo M","toRs$  ( E  d 7i0to,0r0) /","SRilg$u e  3iro5, 0Ju0ni"
5 Seconds of Summer,Universo dos Livros,"R$     24,90","R$   12,45"
6 caminhos para seu dinheiro render muito mais,"Miranda, Felipe","R$     29,90","R$   14,95"
7 lições de negócios de La Casa de Papel,"Mello, Fábio Bandeira","dRe$     39,90","R$   19,95"
7 princípios do lÍder revolucionário,"Blane, Hugh","R$     39,90","R$   19,95"
A Árvore Curiosa,"Levy, Dider","R$     21,00","R$   10,50"
A ascenção da meia noite,"Adrian, Lara","R$     29,90","R$   14,95"
A Bela e a Fera,"Rudnick, Elizabeth","R$     34,90","R$   17,45"
A Bela e a Fera,"Rudnick, Elizabeth","R$     34,90","R$   17,45"
A Bela e a Fera: Perdida em um livro,"Donnelly, Jennifer","R$     39,90","R$   19,95"
A Bela e a Fera: Perdida em um livro (POCKET),"Donnelly, Jennifer","R$     14,90","R$     7,45"
A Bela e a Fera (Pocket),"Rudnick, Elizabeth","R$     19,90","R$     9,95"
Abordagens criativas na cena,"Mendes, Ana Flavia (","rgRa$n  i z  2a9d,o0r0)","R$   14,50"
Abrasasasplim!,"Aragão, José Carlos","R$     28,00","R$   14,00"
Abrasasasplim!,"Aragão, José Carlos","R$     28,00","R$   14,00"
A chave mestra,"Haanel, Charles F.","R$     39,90","R$   19,95"
A ciência de Harry Potter,"Brake, Mark; Chase, J","nR$     44,90","R$   22,45"
A compacta história da Segunda Guerra,"Evans, A. A.; Gibbons,","DRa$v i d   49,90","R$   24,95"
A compacta história das Guerras,"Evans, A. A.; Gibbons,","DRa$v i d   44,90","R$   22,45"
A compacta história do mundo,"Dalal, Roshen","R$     49,90","R$   24,95"
A dívida,"Jones, Nina G.","R$     49,90","R$   24,95"
Adorável cretino 1 e 2 Vira vira (Pocket),"Ferreira, Camila","R$     19,90","R$     9,95"
Adorável cretino 2,"Ferreira, Camila","R$     39,90","R$   19,95"
A escolha,"Ward, J. R.","R$     44,90","R$   22,45"
A essência do budismo,"Yun, Hsing","R$     17,00","R$     8,50"
A fama do jabuti,Vovô Felicio,"R$     39,90","R$   19,95"
A fantástica viagem de Bela,"McCullough, Kathy","R$     44,90","R$   22,45"
A Fera em Mim: A história do príncipe da Bela,"Valentino, Serena","R$     34,90","R$   17,45"
A Fraternidade Jane Austen,"Jenner, Natalie","R$     54,90","R$   27,45"
"A Gente Ama, a Gente Sonha","Ribeiro, Fabiane","R$     14,90","R$     7,45"
A gotinha falante,"Cury, Claudia","R$     39,90","R$   19,95"
A gralha-azul e sua lenda,"Èboli, Terezinha","R$     34,90","R$   17,45"
"Águas doces no Brasil: Capital ecológico, uso e conservação","Rebouças, Aldo (Orga","iRza$d  o 1r2)0 /, 0B0r","gaR, $B e n 6e0d,i0to0 ("
A história de amor de Anastásia Romanov,"Ribeiro, Fabiane","R$     39,90","R$   19,95"
Aladdin: A história que encanta Gerações,"Rudnick, Elizabeth","R$     44,90","R$   22,45"
Aladdin às avessas: E se Aladdin nunca tivesse encontrado a lâmpada?,"Braswell, Liz","R$     59,90","R$   29,95"
A Ladra,"Ward, J. R.","R$     49,90","R$   24,95"
A Lady de Lyon,"Garwood, Julie","R$     49,90","R$   24,95"
Além da magia,"Mafi, Tahereh","R$     39,90","R$   19,95"
Além da Magia (Pocket),"Mafi, Tahereh","R$     14,90","R$     7,45"
Além da Meia-Noite,"Adrian, Lara","R$     44,90","R$   22,45"
A Lenda da Lua Cheia,"Èboli, Terezinha","R$     34,90","R$   17,45"
