EDITORA BRASILIENSE,,,,,
ISBN,COD BARRAS,DESCRIÇÃO,AUTOR,PREÇO 2021,PREÇO USP
9788511000993,9788511000993,64,FERNANDA POMPEU,"40,00","20,00"
9788511020786,9788511020786,A CIDADE DE SAO PAULO GEOGRAFIA E HISTORIA,CAIO DA SILVA PRADO JUNIOR,"39,90","19,95"
9788511021035,9788511021035,A COLUNA PRESTES - REBELDES ERRANTES - (TH),JOSE AUGUSTO DRUMMOND,"39,90","19,95"
9788511020243,9788511020243,A COMUNA DE PARIS - OS ASSALTANTES DO CEU,HORACIO LUIZ GONZALES,"39,90","19,95"
9788511001754,9788511001754,A DIVERSIDADE DOS SOTAQUES,RENATO ORTIZ,"72,00","36,00"
9788511020724,9788511020724,A ECONOMIA CAFEEIRA,JOSE ROBERTO DO AMARAL LAPA,"39,90","19,95"
9788511000641,9788511000641,A ELITE PARLAMENTAR DO POS-CONSTITUINTE,DEBORA MESSENBERG GUIMARAES,"63,00","31,50"
9788511110012,9788511110012,A ESCOLA E A COMPREENSAO DA REALIDADE,MARIA TERESA NIDELCOFF,"46,55","23,28"
9788511150285,9788511150285,A ESTORIA DO SEVERINO E A HISTORIA DA SEVERINA,ANTONIO DA COSTA CIAMPA,"87,50","43,75"
9788511020717,9788511020717,A FAMILIA BRASILEIRA,ENI DE MESQUITA SAMARA,"39,90","19,95"
9788511020359,9788511020359,A FORMACAO DO 3. MUNDO,LADISLAU DOWBOR,"39,90","19,95"
9788511150032,9788511150032,A FUNCAO DO ORGASMO,WILHELM REICH,"110,50","55,25"
9788511140842,9788511140842,A GUERRA DOS MENINOS,GILBERTO DIMENSTEIN,"37,00","18,50"
9788511000559,9788511000559,A IDADE MEDIA NASCIMENTO DO OCIDENTE,HILARIO FRANCO JUNIOR,"77,60","38,80"
9788511220285,9788511220285,A IMAGEM - TEMPO,GILLES DELEUZE,"114,00","57,00"
9788511020984,9788511020984,A INDUSTRIALIZACAO BRASILEIRA,FRANCISCO IGLESIAS,"39,90","19,95"
9788511001167,9788511001167,A INQUISICAO - 2. EDICAO,ANITA NOVINSKY,"39,90","19,95"
9788511001266,9788511001266,A JANELA,MARIO VALE,"66,00","33,00"
9788511220278,9788511220278,A LINGUAGEM CINEMATOGRAFICA,MARCEL MARTIN,"118,70","59,35"
9788511001686,9788511001686,A MELHOR SELECAO DO MUNDO,JOAO CARLOS DE ASSUMPCAO,"63,00","31,50"
9788511070323,9788511070323,A MORTE BRANCA DO FEITICEIRO NEGRO,RENATO ORTIZ,"83,40","41,70"
9788511300048,9788511300048,A PILULA FALANTE - Coleção ROCAMBOLE,MONTEIRO LOBATO,"30,00","15,00"
9788511021226,9788511021226,A REFORMA AGRARIA NA ROMA ANTIGA,MARIA LUIZA CORASSIN,"39,90","19,95"
9788511080049,9788511080049,A REVOLUCAO BRASILEIRA,CAIO DA SILVA PRADO JUNIOR,"89,30","44,65"
9788511021011,9788511021011,A REVOLUCAO FARROUPILHA,SANDRA JATAHY PESAVENTO,"39,90","19,95"
9788511140811,9788511140811,A SOCIEDADE INFORMATICA,ADAM SCHAFF,"49,00","24,50"
9788511001617,9788511001617,A VAQUINHA QUADRADA,MONALISA ARIKAWA,"52,50","26,25"
EDITORA BRASILIENSE,,,,,
ISBN,COD BARRAS,DESCRIÇÃO,AUTOR,PREÇO 2021,PREÇO USP
9788511001785,9788511001785,ALEM DO ARCO-IRIS,TATIANA ALVES SOARES,"59,00","29,50"
9788511000917,9788511000917,ANALITICA DO SENTIDO 2 ED,DULCE MARA CRITELLI,"65,40","32,70"
9788511070309,9788511070309,APRENDER ANTROPOLOGIA,FRANCOIS LAPLANTINE,"78,10","39,05"
9788511070385,9788511070385,APRENDER ETNOPSIQUIATRIA,FRANCOIS LAPLANTINE,"59,80","29,90"
9788511150421,9788511150421,APRENDER PSICOLOGIA,MARIA LUIZA SILVEIRA TELES,"54,60","27,30"
9788511220261,9788511220261,APRENDER TELEJORNALISMO,SEBASTIAO CARLOS DE MORAIS SQUIRRA,"64,20","32,10"
9788511000658,9788511000658,ARGENTINA: TERRITORIO E GLOBALIZACAO,MARIA LAURA SILVEIRA,"42,30","21,15"
9788511110326,9788511110326,AS CIENCIAS SOCIAIS NA ESCOLA,MARIA TERESA NIDELCOFF,"63,00","31,50"
9788511001679,9788511001679,AS CONFUSOES DA DUDA E DO DUDU,ELISABETH MADER DO AMARAL GURGEL,"61,50","30,75"
9788511000429,9788511000429,AS COVAS GEMEAS,MARCO ANTONIO ZANFRA,"40,00","20,00"
9788511300116,9788511300116,ASSEMBLEIA NA MATA - Coleção ROCAMBOLE,MONTEIRO LOBATO,"30,00","15,00"
9788511000450,9788511000450,AVALIACAO ESCOLAR,HELIA SONIA RAPHAEL,"63,00","31,50"
9788511020472,9788511020472,BANDEIRANTISMO: VERSO E REVERSO,CARLOS HENRIQUE DAVIDOFF DAS CHAGAS CR,"Z39,90","19,95"
9788511021370,9788511021370,BOLIVIA DO PERIODO PRE-INCAICO A INDEPENDENCIA,HERBERT S. KLEIN,"39,90","19,95"
9788511021400,9788511021400,BRASIL: DO CAFE A INDUSTRIA,ROBERTO CATELLI JUNIOR,"39,90","19,95"
9788511001600,9788511001600,BRINCANDO DE ESCONDE-ESCONDE COM DEUS,MARIA CELIA WIDER,"56,30","28,15"
9788511156232,9788511156232,"BULLYING, SABER IDENTIFICAR E COMO PREVENIR",ARAMIS ANTONIO LOPES NETO,"40,00","20,00"
9788511001426,9788511001426,CHOCOLATE AMARGO,RENATA PALLOTTINI,"40,00","20,00"
9788511001563,9788511001563,CHUVA SOBRE HAVANA,JULIO TRAVIESO SERRANO,"40,00","20,00"
9788511080698,9788511080698,COISAS DITAS,PIERRE BOURDIEU,"85,60","42,80"
9788511001273,9788511001273,COMUNICACAO VISUAL,MASSIMO CANEVACCI,"75,00","37,50"
9788511020434,9788511020434,CONTRA A CHIBATA : MARINHEIROS BRASILEIROS EM 191,MARCOS ANTONIO DA SILVA,"39,90","19,95"
9788511070149,9788511070149,CULTURA BRASILEIRA E IDENTIDADE NACIONAL,RENATO ORTIZ,"59,90","29,95"
9788511001044,9788511001044,CYBERSENZALA,JAIR FERREIRA DOS SANTOS,"57,70","28,85"
9788511000962,9788511000962,DESUMANO,OLIVIA MAIA REZENDE,"40,00","20,00"
9788511110340,9788511110340,DIREITOS HUMANOS VOL 1 - UM DEBATE NECESSARIO,ANTONIO CARLOS RIBEIRO FESTER,"50,00","25,00"
9788511140453,9788511140453,DIREITOS HUMANOS VOL 2 - UM DEBATE NECESSARIO,ANTONIO CARLOS RIBEIRO FESTER,"50,00","25,00"
EDITORA BRASILIENSE,,,,,
ISBN,COD BARRAS,DESCRIÇÃO,AUTOR,PREÇO 2021,PREÇO USP
9788511001099,9788511001099,DO NUNCA MAIS AO ETERNO RETORNO 2. ED,LUCIANO OLIVEIRA,"39,90","19,95"
9788511000733,9788511000733,"DORES, AMORES E PINCEIS",BERTHA SOLARES,"40,00","20,00"
9788511150391,9788511150391,DROGAS: SUBSIDIOS PARA UMA DISCUSSAO,JANDIRA MASSUR / E. A. CARLINI,"40,00","20,00"
9788511130690,9788511130690,ESCRAVO OU CAMPONES?,CIRO FLAMARION SANTANA CARDOSO,"45,00","22,50"
9788511030204,9788511030204,EVITA - MILITANTE NO CAMARIM,HORACIO LUIZ GONZALES,"39,90","19,95"
9788511000252,9788511000252,FABULAS DE KRYLOV,TATIANA BELINKY GOUVEIA,"55,00","27,50"
9788511001761,9788511001761,FAWCETT - O MISTERIO DO RONCADOR,WALTER VETILLO,"55,00","27,50"
