EAN / ISBN,Peso (g),Título,Autor,Categoria Principal,50%,Capa
9788576360957,260,ABILOLADO MUNDO NOVO,CARLOS MALTZ,COMPORTAMENTO,"R$25,00","50,00"
9788576361336,260,ARTIMANHAS DO ATOR,YOSHI OIDA,TEATRO,"R$17,50","35,00"
9788576361244,220,ASSASSINATOS EM FAMILIA,FLORIAN HOUSSIER,PSICANALISE,"R$30,00","60,00"
9788576361114,264,"ATOR ERRANTE, UM 2 ED",YOSHI OIDA,TEATRO,"R$18,50","37,00"
9788576360551,262,"ATOR INVISIVEL, O 2 ED",YOSHI OIDA; LORNA MARSHALL,TEATRO,"R$18,50","37,00"
9788586932281,160,AUSCHWITZ EXPLICADO A MINHA FILHA,ANNETTE WIEVIORKA,COMPORTAMENTO,"R$13,00","26,00"
9788576361121,230,"AVENTURAS DE RABI HARVEY, AS",STEVE SHEINKIN,HQ,"R$19,00","38,00"
9788576361053,320,"BIBLIA DA LIDERANCA, A",NATHAN LAUFER,RELIGIÃO,"R$22,45","44,90"
9788576361251,320,BIOPOLICA E PSICANALISE: VIAS DE ENCONTRO,MARCUS TESCHAINER E ORGS,PSICANALISE,"R$21,00","42,00"
9788576360865,290,CASTELO ADORMECIDO ESPINHEIRO VOL 1,LINDA MEDLEY,HQ,"R$19,50","39,00"
9788576361411,190,"CIDADE E AS SERRAS, A VL",ECA DE QUEIROS,LITERATURA,"R$10,00","20,00"
9788576360780,470,"CIENCIA, HISTORIA E HISTORIOGRAFIA",MAST,HISTORIA,"R$27,00","54,00"
9788576360476,170,"CLARICE LISPECTOR, ESSA DESCONHECIDA",JULIO LERNER,LITERATURA,"R$22,00","44,00"
9788576360018,260,"CLINICA DA CONSTRUCAO DO CORPO, UMA",MIRA WAJNTAL,PSICANALISE,"R$15,00","30,00"
9788576360667,280,COMO COELHOS,RALF KONIG,HQ,"R$20,50","41,00"
9788576361084,324,COMO LER A BIBLIA VOL.01,JAMES L. KUGEL,RELIGIÃO,"R$26,00","52,00"
9788576361251,280,COMPLEXO DE EDIPO EM FREUD E LACAN: UMA INTRO,RUOÇNÃOALÀDOFOMBAIANZDIO PEQUENOS HANS,PSICANALISE,"R$19,00","38,00"
9788576361428,750,CONVERSAS E MEMORIAS,GONCALO LUIZ DE MELO,PSICOLOGIA,"R$27,50","55,00"
9788576361237,190,"CORTICO, O",ALUISIO AZEVEDO,LITERATURA,"R$10,00","20,00"
9788586932106,120,CRONICAS DA PROVINCIA,WANDER ANTUNES; MOZART COUTO,HQ,"R$11,00","22,00"
9788586932427,180,"CULTURA EXPLICADA A MINHA FILHA, A",JEROME CLEMENT,COMPORTAMENTO,"R$16,50","33,00"
9788576360926,520,"DARWINISMO, MEIO AMBIENTE, SOCIEDADE",HELOISA BERTOL,CIENCIAS,"R$27,00","54,00"
9788576360698,340,"DEPRESSOES - AFETOS E HUMORES DO VIVER, AS",LUIS HORNSTEIN,PSICANALISE,"R$29,00","58,00"
