"TítuloAutorPreço                  de capaPreço com desconto 50%",,,
100 ANOS DE CARNAVAL NO RIO DE JANEIRO,Haroldo Costa,"R$ 81,00","R$ 40,50"
120 MÚSICAS FAVORITAS PARA PIANO - VOL. 1,Mário Mascarenhas,"R$ 110,00","R$ 55,00"
120 MÚSICAS FAVORITAS PARA PIANO - VOL. 2,Mário Mascarenhas,"R$ 110,00","R$ 55,00"
120 MÚSICAS FAVORITAS PARA PIANO - VOL. 3,Mário Mascarenhas,"R$ 110,00","R$ 55,00"
16 ESTUDOS ESCRITOS E GRAVADOS PARA PIANO,Ian Guest,"R$ 63,00","R$ 31,50"
20 PEÇAS FÁCEIS PARA PIANO A QUATRO MÃOS,Mário Mascarenhas,"R$ 63,00","R$ 31,50"
211 LEVADAS RÍTMICAS,Renato de Sá,"R$ 63,00","R$ 31,50"
23 PEÇAS FÁCEIS,Johann Sebastian Bach,"R$ 32,00","R$ 16,00"
25 ESTUDOS - OP. 100 ( EDIÇÃO COM CD ),Friedrich Burgmüller,"R$ 39,00","R$ 19,50"
25 PEQUENOS ESTUDOS - OP. 90 - 1o VOL.,Georges Bull,"R$ 26,00","R$ 13,00"
3250 ACORDES PARA VIOLÃO,Fernando Azevedo,"R$ 55,00","R$ 27,50"
A ARTE DA IMPROVISAÇÃO,Nelson Faria,"R$ 72,00","R$ 36,00"
A ARTE DE OUVIR - VOL. 1,Adamo Prince,"R$ 61,00","R$ 30,50"
A ARTE DE OUVIR - VOL. 2,Adamo Prince,"R$ 61,00","R$ 30,50"
A DOSE DO DIA - 1o LIVRO (ELEMENTAR),Edna-Mae Burnam,"R$ 29,00","R$ 14,50"
A DOSE DO DIA - 2o LIVRO (TRANSITÓRIO),Edna-Mae Burnam,"R$ 35,00","R$ 17,50"
A DOSE DO DIA - 3o LIVRO (INTENSIVO),Edna-Mae Burnam,"R$ 39,00","R$ 19,50"
A DOSE DO DIA - 4o LIVRO (INTERMEDIÁRIO),Edna-Mae Burnam,"R$ 39,00","R$ 19,50"
A DOSE DO DIA - LIVRO PREPARATÓRIO,Edna-Mae Burnam,"R$ 29,00","R$ 14,50"
A DOSE DO DIA - MINI LIVRO (INICIAÇÃO),Edna-Mae Burnam,"R$ 29,00","R$ 14,50"
À NOITE SONHAMOS,Fréderic François Chopin,"R$ 47,00","R$ 23,50"
A OBRA DE JOÃO ROBERTO KELLY,João Roberto Kelly,"R$ 55,00","R$ 27,50"
A POESIA DE MÁRIO LAGO,Mário Lago,"R$ 67,00","R$ 33,50"
ABC DE VIOLA E VIOLÃO,Tonico e Tinoco,"R$ 55,00","R$ 27,50"
ABC MUSICAL - MACHADO,Rafael Coelho Machado/Radamés,"R$ 23,00","R$ 11,50"
"ACORDES, ARPEJOS e ESCALAS",Nelson Faria,"R$ 72,00","R$ 36,00"
ÁLBUM DE CARNAVAL E OUTRAS FESTAS POPULARES - PISTON,Diversos,"R$ 94,00","R$ 47,00"
ÁLBUM DE CARNAVAL E OUTRAS FESTAS POPULARES - TROMBONE,Diversos,"R$ 94,00","R$ 47,00"
ÁLBUM PARA A JUVENTUDE - OP. 68,Robert Schumann,"R$ 39,00","R$ 19,50"
APRENDA A TOCAR ÓRGÃO E TECLADO - 1o VOL.,Cristine Prado,"R$ 101,00","R$ 50,50"
APRENDA GAITA BLUES,Ricardo Parronchi,"R$ 43,00","R$ 21,50"
APRENDER TOCAR E CRIAR AO PIANO - IMPROVISAÇÃO E TÉCNICA,Professora Abigail Silva,"R$ 72,00","R$ 36,00"
APRENDER TOCAR E CRIAR AO PIANO - REPERTÓRIO E HARMONIA,Professora Abigail Silva,"R$ 72,00","R$ 36,00"
AQUARELA DE GÊNEROS MUSICAIS BRASILEIROS,André Amaral,"R$ 63,00","R$ 31,50"
ARRANJO - MÉTODO PRÁTICO - VOL. 1,Ian Guest,"R$ 94,00","R$ 47,00"
ARRANJO - MÉTODO PRÁTICO - VOL. 2,Ian Guest,"R$ 94,00","R$ 47,00"
ARRANJO - MÉTODO PRÁTICO - VOL. 3,Ian Guest,"R$ 94,00","R$ 47,00"
AS INTERPRETAÇÕES DE TIM MAIA,Tim Maia,"R$ 67,00","R$ 33,50"
BASS SOLO - SEGREDOS DA IMPROVISAÇÃO,Nico Assumpção,"R$ 67,00","R$ 33,50"
BATUQUE É UM PRIVILÉGIO,Oscar Bolão,"R$ 96,00","R$ 48,00"
BLUES AO SEU ALCANCE,John Ganapes,"R$ 72,00","R$ 36,00"
BLUES WORKSHOP,Jeff Gardner,"R$ 67,00","R$ 33,50"
BONA - ARICÓ,Paschoal Bona,"R$ 39,00","R$ 19,50"
BONA - YVES SCHMIDT,Paschoal Bona,"R$ 26,00","R$ 13,00"
BRINCANDO COM FLAUTA DOCE,Mário Mascarenhas,"R$ 67,00","R$ 33,50"
CABELEIRA DO ZEZÉ E OUTRAS HISTÓRIAS,João Roberto Kelly e André Weller,"R$ 63,00","R$ 31,50"
CADERNO DE COMPOSIÇÕES DE JACOB DO BANDOLIM - VOL 1,Jacob do Bandolim,"R$ 85,00","R$ 42,50"
CADERNO DE COMPOSIÇÕES DE JACOB DO BANDOLIM - VOL 2,Jacob do Bandolim,"R$ 85,00","R$ 42,50"
CADERNO DE MÚSICA - 12 PAUTAS,,"R$ 24,00","R$ 12,00"
CADERNO DE MÚSICA - 6 PAUTAS,,"R$ 21,00","R$ 10,50"
CADERNO DE MÚSICAS DE ROLANDO BOLDRIN,Rolando Boldrin,"R$ 67,00","R$ 33,50"
CANCIONEIRO DE VIOLA CAIPIRA - VOL. 1,Rui Torneze,"R$ 67,00","R$ 33,50"
CANTO - EQUILÍBRIO ENTRE CORPO E SOM,Claudia Pacheco e Tutti Baê,"R$ 55,00","R$ 27,50"
CANTO UMA CONSCIÊNCIA MELÓDICA,Tutti Baê,"R$ 55,00","R$ 27,50"
CANTO UMA EXPRESSÃO,Mônica Marsola e Tutti Baê,"R$ 55,00","R$ 27,50"
CHORINHOS DIDÁTICOS,Altamiro Carrilho,"R$ 37,00","R$ 18,50"
CHORO DUETOS - PIXINGUINHA & BENEDITO LACERDA - VOL. 1,Mário Sève e David Ganc,"R$ 72,00","R$ 36,00"
CHORO DUETOS - PIXINGUINHA & BENEDITO LACERDA - VOL. 2,Mário Sève e David Ganc,"R$ 72,00","R$ 36,00"
CLARINETA FÁCIL,Cristiano Alves,"R$ 67,00","R$ 33,50"
COLEÇÕES DE LORENZO FERNÂNDEZ,Lorenzo Fernândez,"R$ 77,00","R$ 38,50"
"COMPOSIÇÃO, UMA DISCUSSÃO SOBRE O PROCESSO CRIATIVO BRAS.",Antonio Adolfo,"R$ 67,00","R$ 33,50"
CONTRABAIXO COMPLETO,Jorge Pescara,"R$ 63,00","R$ 31,50"
CORALITO,Thelma Chan,"R$ 44,00","R$ 22,00"
CURSO CAVALLIERI DE VIOLÃO E GUITARRA,Inácio Cavallieri,"R$ 85,00","R$ 42,50"
CURSO COMPLETO DE TEORIA MUSICAL E SOLFEJO - 1o VOL.,M. Mascarenhas e B. Cardoso,"R$ 76,00","R$ 38,00"
CURSO COMPLETO DE TEORIA MUSICAL E SOLFEJO - 2o VOL.,M. Mascarenhas e B. Cardoso,"R$ 76,00","R$ 38,00"
CURSO CONDENSADO DE HARMONIA TRADICIONAL,Paul Hindemith,"R$ 56,00","R$ 28,00"
CURSO DE BATERIA - VOL. 1,Rui Motta,"R$ 63,00","R$ 31,50"
CURSO DE DIVISÃO RÍTMICA,Rui Motta,"R$ 52,00","R$ 26,00"
CURSO DE PIANO - 1o VOL.,Mário Mascarenhas,"R$ 67,00","R$ 33,50"
CURSO DE PIANO - 2o VOL.,Mário Mascarenhas,"R$ 67,00","R$ 33,50"
DICIONÁRIO DE ACORDES CIFRADOS,Almir Chediak,"R$ 94,00","R$ 47,00"
DICIONÁRIO DE ACORDES COM CORDAS SOLTAS,Jefferson Moreira,"R$ 110,00","R$ 55,00"
DICIONÁRIO DE ACORDES PARA PIANO E TECLADOS,Luciano Alves,"R$ 101,00","R$ 50,50"
DUAS MÃOZINHAS NO TECLADO,Mário Mascarenhas,"R$ 67,00","R$ 33,50"
E POR FALAR EM TABUADA...,João Bianco e Mônica Marsola,"R$ 40,00","R$ 20,00"
ERNESTO NAZARETH - ANTOLOGIA,Ernesto Nazareth,"R$ 101,00","R$ 50,50"
ESCALAS PARA IMPROVISAÇÃO,Luciano Alves,"R$ 85,00","R$ 42,50"
ESCOLA MODERNA DO CAVAQUINHO,Henrique Cazes,"R$ 63,00","R$ 31,50"
ESCOLA PREPARATÓRIA DE PIANO - OP. 101,Ferdinand Beyer,"R$ 44,00","R$ 22,00"
ESTORINHAS PARA OUVIR,Enny Parejo,"R$ 35,00","R$ 17,50"
ESTUDOS ESCOLHIDOS - 1o VOL.,Carl Czerny - Germer,"R$ 47,00","R$ 23,50"
EXERCÍCIOS DE LEITURA PARA GUITARRISTAS E VIOLONISTAS,Nelson Faria,"R$ 96,00","R$ 48,00"
EXERCÍCIOS DE TÉCNICA PARA PIANO,Ondine de Mello,"R$ 72,00","R$ 36,00"
EXERCÍCIOS PARA PIANO E TECLADOS,Luciano Alves,"R$ 72,00","R$ 36,00"
EXERCÍCIOS TÉCNICOS DIÁRIOS,Oscar Beringer,"R$ 53,00","R$ 26,50"
FAZENDO MÚSICA NO COMPUTADOR,Luciano Alves,"R$ 92,00","R$ 46,00"
FLAUTA FÁCIL,Celso Woltzenlogel,"R$ 61,00","R$ 30,50"
FLAUTA FÁCIL 2,Celso Woltzenlogel,"R$ 72,00","R$ 36,00"
FRASEADO DO CHORO,Mario Seve,"R$ 96,00","R$ 48,00"
GRANDES ARRANJOS DE DILERMANDO REIS,Dilermando Reis,"R$ 61,00","R$ 30,50"
GUERRA-PEIXE,Guerra-Peixe,"R$ 85,00","R$ 42,50"
GUITARRA SOLO,Daniel Gilbert e Beth Marlis,"R$ 96,00","R$ 48,00"
HARMONIA - DA CONCEPÇÃO À EXPRESSÃO - 1o VOLUME,Maria Luisa de Mattos Priolli,"R$ 35,00","R$ 17,50"
HARMONIA - DA CONCEPÇÃO À EXPRESSÃO - 2o VOLUME,Maria Luisa de Mattos Priolli,"R$ 35,00","R$ 17,50"
HARMONIA - MÉTODO PRÁTICO - VOL. 1,Ian Guest,"R$ 94,00","R$ 47,00"
HARMONIA - MÉTODO PRÁTICO - VOL. 2,Ian Guest,"R$ 94,00","R$ 47,00"
HARMONIA - MÉTODO PRÁTICO - VOL. 3 - MODALISMO,Ian Guest,"R$ 72,00","R$ 36,00"
HARMONIA AO BANDOLIM,Marcílio Lopes,"R$ 72,00","R$ 36,00"
