"LISTA DE LIVROS  - Festa Virtualdo Livroda USP 2021"
TÍTULO,PREÇO CAPA,"PREÇO COMDESCONTO"
10 Razões Para Te Amar,"R$ 29,90","R$ 14,95"
"10 Vezes Te Amo, Mamãe","R$ 29,90","R$ 14,95"
"10 Vezes Te Amo, Papai","R$ 29,90","R$ 14,95"
100 Coisas Para Fazer A Dois,"R$ 29,90","R$ 14,95"
100 Coisas que eu Amo em Você,"R$ 36,90","R$ 18,45"
100 Formas De Dizer Eu Te Amo,"R$ 29,90","R$ 14,95"
1000 Curiosidades Olímpicas Que Todo Recordista Deveria Saber,"R$ 39,90","R$ 19,95"
40 Semanas: Um Diário de Gravidez,"R$ 64,90","R$ 32,45"
A Guerra de Tito e Pepita,"R$ 42,90","R$ 21,45"
A Sombra do Elefante,"R$ 59,90","R$ 29,95"
"A Traição de Camelot (As novas lendas de Camelot, v.2)","R$ 69,90","R$ 34,95"
A Vaca foi pro Brejo,"R$ 52,90","R$ 42,32"
"Adeus, Promessas","R$ 42,90","R$ 21,45"
Adoráveis Pavorosos,"R$ 49,90","R$ 24,95"
"Ai, Tá Doendo!","R$ 34,90","R$ 17,45"
"Álbum Da Minha Primeira Comunhão, O","R$ 76,90","R$ 38,45"
"Álbum Do Meu Batismo, O","R$ 76,90","R$ 38,45"
Allison Contra Os Zumbis,"R$ 42,90","R$ 15,02"
Alma Armênia,"R$ 69,90","R$ 34,95"
"Alva Lebre, Lobo Avermelhado: Esta História é Falsa","R$ 49,90","R$ 24,95"
Amar É... Estar Juntos,"R$ 19,90","R$ 9,95"
Amar É... Infinito,"R$ 19,90","R$ 9,95"
Amar É... Nos Dois,"R$ 19,90","R$ 9,95"
Amar É... O Primeiro Beijo,"R$ 19,90","R$ 9,95"
Amar É... Para Sempre,"R$ 19,90","R$ 9,95"
Amar É... Para Todas As Horas,"R$ 19,90","R$ 9,95"
Amar É... Sem Fronteiras,"R$ 19,90","R$ 9,95"
Amar É... Um Abraco Imenso,"R$ 19,90","R$ 9,95"
"Amar, desamar, amar de novo: Como garantir um relacionamentosaudável e feliz","R$ 42,90","R$ 21,45"
Amar-se: Uma Viagem em Busca de Si Mesmo,"R$ 46,90","R$ 23,45"
"Amigos Imaginários, Os","R$ 36,90","R$ 12,92"
Amizade: Frases Cativantes De Antoine De Saint,"R$ 29,90","R$ 14,95"
"Amo Você, Mãe - Ed. Atualizada","R$ 29,90","R$ 14,95"
Amor Aprisionado,"R$ 39,90","R$ 13,97"
Amor Letal,"R$ 46,90","R$ 23,45"
Amor: Frases Cativantes De Antoine De Saint,"R$ 29,90","R$ 14,95"
Animágicos,"R$ 84,90","R$ 42,45"
Animais: Meu Primeiro Livro De Desenhos,"R$ 49,90","R$ 24,95"
"Animal Mais Feroz, O","R$ 39,90","R$ 19,95"
Aos Perdidos Com Amor,"R$ 49,90","R$ 24,95"
Aperitivos,"R$ 99,90","R$ 34,97"
Aquário: O Signo Curioso,"R$ 19,90","R$ 9,95"
Aries: O Signo Energético,"R$ 19,90","R$ 9,95"
Armas Da Sedução,"R$ 39,90","R$ 13,97"
"Arteiros Magicos, Os","R$ 42,90","R$ 21,45"
"Arteiros Mágicos, Os: Vol. 2 - A Segunda História","R$ 42,90","R$ 21,45"
"Arteiros Mágicos, Os: Vol.3 - A Terceira História","R$ 49,90","R$ 24,95"
"Aru Shah e a Canção da Morte (Saga Pândava, vol. 2)","R$ 52,90","R$ 26,45"
Aru Shah E O Fim Dos Tempos,"R$ 52,90","R$ 26,45"
Ás de Espadas,"R$ 64,90","R$ 51,92"
As Maravilhas que Você Vai Ser,"R$ 54,90","R$ 27,45"
Asas Da Paixão,"R$ 29,90","R$ 14,95"
Astrologia De Nós Dois,"R$ 129,90","R$ 64,95"
Balbúrdia,"R$ 39,90","R$ 19,95"
"Banho Do Caco, O","R$ 59,90","R$ 29,95"
Bebê Gourmet,"R$ 74,90","R$ 26,22"
"Beijo Do Vencedor, 0","R$ 49,90","R$ 24,95"
Belles,"R$ 59,90","R$ 29,95"
Blackbird: A Fuga,"R$ 42,90","R$ 21,45"
"Boa Noite, Caco","R$ 59,90","R$ 29,95"
"Boa Noite, Planeta","R$ 44,90","R$ 22,45"
Box Diario De Um Banana - 10 Volumes,"R$ 274,90","R$ 137,45"
Bunker: Diário da Agonia,"R$ 39,90","R$ 13,97"
Caçadora (A Última Caça-Vampiros Vol. 1),"R$ 59,90","R$ 29,95"
Caco Está Com Fome,"R$ 59,90","R$ 29,95"
Caderno De Mandalas 3+ Anos,"R$ 29,90","R$ 10,47"
Caderno De Mandalas 4+ Anos,"R$ 29,90","R$ 10,47"
Caderno De Mandalas 5+ Anos,"R$ 29,90","R$ 10,47"
Caliente: A Verdadeira Comida Mexicana,"R$ 74,90","R$ 26,22"
Calma. Técnicas Comprovadas para acabar com a Ansiedade Agora,"R$ 46,90","R$ 23,45"
"Canção das Águas, A","R$ 54,90","R$ 27,45"
"Canção Para Jack, Uma","R$ 35,90","R$ 12,57"
Câncer: O Signo Sensível,"R$ 19,90","R$ 9,95"
Capitão Mimo,"R$ 49,90","R$ 39,92"
Capricórnio: O Signo Descolado,"R$ 19,90","R$ 9,95"
"Cara Dos Meus Sonhos, O (Ou Quase)","R$ 54,90","R$ 27,45"
Casa Da Furias,"R$ 54,90","R$ 27,45"
Caubóis (Coleção Cadê?),"R$ 39,90","R$ 19,95"
Chamas Do Passado,"R$ 39,90","R$ 13,97"
Clássicos animados – A Pequena Sereia,"R$ 54,90","R$ 27,45"
Clássicos Animados - Branca De Neve,"R$ 54,90","R$ 27,45"
Clássicos Animados - Cachinhos Dourados,"R$ 54,90","R$ 27,45"
Clássicos Animados - Chapeuzinho Vermelho,"R$ 54,90","R$ 27,45"
Clássicos animados – Cinderela,"R$ 54,90","R$ 27,45"
"Clássicos Animados - Gato De Botas, O","R$ 54,90","R$ 27,45"
Clássicos animados – João e Maria,"R$ 54,90","R$ 27,45"
Clássicos Animados - Os Tres Porquinhos,"R$ 54,90","R$ 27,45"
"Clássicos Animados - Pequeno Polegar, O","R$ 54,90","R$ 27,45"
Clássicos animados – Peter Pan,"R$ 54,90","R$ 27,45"
Clássicos Animados - Pinoquio,"R$ 54,90","R$ 27,45"
Com Amor Para Meu Pai!,"R$ 29,90","R$ 14,95"
Com Amor Para Minha Mãe!,"R$ 29,90","R$ 14,95"
"Com Todo O Meu Amor, Pra Você","R$ 29,90","R$ 14,95"
Como Apavorar  Aranhas?,"R$ 49,90","R$ 24,95"
Como Apavorar Os Fantasmas?,"R$ 49,90","R$ 24,95"
Como Apavorar Os Piratas?,"R$ 49,90","R$ 24,95"
Como Procurar Um Cachorro Perdido,"R$ 42,90","R$ 21,45"
"Como você se sente, tigrinho?","R$ 56,90","R$ 28,45"
"Como você se sente, ursinho?","R$ 56,90","R$ 28,45"
"Cozinha A Dois: Cozinhar, Comer E Amar","R$ 99,90","R$ 34,97"
Crenshaw: A Fome Da Imaginação,"R$ 42,90","R$ 21,45"
"Crianca Unica, Uma","R$ 64,90","R$ 32,45"
"Crime Do Vencedor, O","R$ 49,90","R$ 24,95"
Cuidado! Carlinhos Coelho e o Misterioso Devorador de Livros,"R$ 54,90","R$ 27,45"
Cupcakes,"R$ 99,90","R$ 34,97"
Darkdawn: As Cinzas da República,"R$ 79,90","R$ 39,95"
De Mar A Mar,"R$ 64,90","R$ 22,72"
De Que Cores São As Cores?,"R$ 39,90","R$ 13,97"
Deadfall: A Caçada,"R$ 42,90","R$ 21,45"
Delícias Vintage - Sessenta Bolos E Tortas,"R$ 74,90","R$ 26,22"
Depois Do Azul,"R$ 34,90","R$ 17,45"
Descobrindo os Animais do Mundo!,"R$ 109,90","R$ 54,95"
Descobrindo os Dinossauros!,"R$ 109,90","R$ 54,95"
Desejo a Você Um Feliz Aniversário,"R$ 29,90","R$ 10,47"
Desejos Do Destino,"R$ 39,90","R$ 13,97"
Desenhe sua boneca americana,"R$ 36,90","R$ 18,45"
Desenhe sua boneca espanhola,"R$ 36,90","R$ 18,45"
Desenhe Sua Boneca India Norte-Americana,"R$ 36,90","R$ 18,45"
Desenhe Sua Boneca Indiana,"R$ 36,90","R$ 18,45"
Desenhe sua boneca japonesa,"R$ 36,90","R$ 18,45"
Desenhe sua Boneca Marroquina com Louna,"R$ 36,90","R$ 18,45"
Desenhe Sua Boneca Russa,"R$ 36,90","R$ 18,45"
Desenhe Sua Boneca Tahitiana,"R$ 36,90","R$ 18,45"
Deu Zebra,"R$ 39,90","R$ 19,95"
Diário De Um Banana 1,"R$ 48,90","R$ 24,45"
Diário De Um Banana 2: Rodrick e o Cara,"R$ 48,90","R$ 24,45"
Diário De Um Banana 3: A Gota D'Água,"R$ 48,90","R$ 24,45"
Diário De Um Banana 4: Dias De Cão,"R$ 48,90","R$ 24,45"
Diário De Um Banana 5: A Verdade Nua e Crua,"R$ 48,90","R$ 24,45"
Diário De Um Banana 6: Casa Dos Horrores,"R$ 48,90","R$ 24,45"
Diário De Um Banana 7: Segurando Vela,"R$ 48,90","R$ 24,45"
Diário De Um Banana 8: Maré De Azar,"R$ 48,90","R$ 24,45"
Diário De Um Banana 9: Caindo Na Estrada,"R$ 48,90","R$ 24,45"
Diário De Um Banana 10: Bons Tempos,"R$ 48,90","R$ 24,45"
Diário De Um Banana 11: Vai Ou Racha,"R$ 48,90","R$ 24,45"
Diário De Um Banana 12: Apertem Os Cintos,"R$ 48,90","R$ 24,45"
Diário De Um Banana 13: Batalha Neval,"R$ 48,90","R$ 24,45"
Diário de um Banana 14: Quebra Tudo,"R$ 48,90","R$ 24,45"
Diário de um Banana 15: Vai Fundo,"R$ 48,90","R$ 24,45"
Diário de um Banana 16: Bola Fora,"R$ 49,90","R$ 39,92"
Diário De Um Banana: Faça Você Mesmo-Edição Atualizada,"R$ 44,90","R$ 22,45"
Díário do Rowley: Um Garoto Supimpa,"R$ 48,90","R$ 24,45"
Rowley Apresenta: Histórias Supimpas de Terror,"R$ 49,90","R$ 24,95"
Rowley Apresenta: Uma Aventura Supimpa,"R$ 48,90","R$ 24,45"
Dieta de Buda,"R$ 42,90","R$ 21,45"
Diploma Para A Melhor Amiga,"R$ 29,90","R$ 10,47"
Diploma Para O Melhor Avô,"R$ 29,90","R$ 10,47"
Diploma Para O Melhor Pai,"R$ 29,90","R$ 10,47"
Divina Vingança,"R$ 44,90","R$ 22,45"
Dona Do Poder,"R$ 59,90","R$ 29,95"
Donuts: Cozinhar - Decorar - Apreciar,"R$ 54,90","R$ 19,22"
"Durma bem, viva melhor","R$ 49,90","R$ 24,95"
"É Hora de Dormir, Pinguinzinho","R$ 89,90","R$ 44,95"
"Em Conflito: Por que as discussões estão nos distanciando e comopodem nos Unir","R$ 54,90","R$ 43,92"
Emma em Paris (Coleção minimiki),"R$ 32,90","R$ 16,45"
Encontro Com As Letras,"R$ 44,90","R$ 22,45"
Era Uma Vez Na Cozinha - Receitas Inspiradas Nos Contos De Fadas,"R$ 159,90","R$ 55,97"
Escola Peluda,"R$ 54,90","R$ 27,45"
Escolhida,"R$ 59,90","R$ 29,95"
Esconde Esconde,"R$ 34,90","R$ 12,22"
Escorpião: O Signo Profundo,"R$ 19,90","R$ 9,95"
Escreva & Escreva de Novo: Letras,"R$ 59,90","R$ 29,95"
Escreva & Escreva de Novo: Números,"R$ 59,90","R$ 29,95"
Escrito E Desenhado Por Henriqueta,"R$ 46,90","R$ 23,45"
"Espaço, O","R$ 49,90","R$ 24,95"
"Está na Mesa, Carneirinho","R$ 89,90","R$ 44,95"
Estamos Bem,"R$ 39,90","R$ 19,95"
"Estatutos Do Homem, Os (Capa Azul)","R$ 34,90","R$ 17,45"
Este livro é Antirracista,"R$ 49,90","R$ 24,95"
"Estrelas Negras, As","R$ 34,90","R$ 17,45"
"Estrelas Sob Nossos Pés, As","R$ 46,90","R$ 23,45"
Eu e Meu Medo,"R$ 49,90","R$ 24,95"
Eu sou uma Garota Rebelde: Um Diário para iniciar Revoluções,"R$ 59,90","R$ 29,95"
Exo,"R$ 49,90","R$ 24,95"
Fadas (Colecão Cadê?),"R$ 39,90","R$ 19,95"
Fadas Na Cozinha,"R$ 54,90","R$ 19,22"
"Farsa de Guinevere, A","R$ 59,90","R$ 29,95"
Faunativa: Uma Aventura Animal,"R$ 29,90","R$ 10,47"
Felicidade: Frases Cativantes De Antoine De Saint,"R$ 29,90","R$ 14,95"
"Fenda Branca: As Cores De Madeleine, A","R$ 42,90","R$ 15,02"
"Fendas Do Reino: As Cores De Madeleine, As","R$ 42,90","R$ 15,02"
Feroz e dilacerado coração,"R$ 69,90","R$ 34,95"
Filha Das Trevas,"R$ 59,90","R$ 29,95"
Flores Selvagens,"R$ 54,90","R$ 43,92"
Fora De Mim,"R$ 36,90","R$ 12,92"
Futuro Falso,"R$ 42,90","R$ 15,02"
Garota Imperfeita,"R$ 42,90","R$ 21,45"
Garota Oculta,"R$ 36,90","R$ 12,92"
Garotas De Neve E Vidro,"R$ 54,90","R$ 27,45"
"Garotas Spring, As","R$ 48,90","R$ 24,45"
"Gato Que Amava A Mancha Laranja, O","R$ 34,90","R$ 12,22"
Gemeos: O Signo Entusiasmado,"R$ 19,90","R$ 9,95"
"Gigantes, Cuidado!","R$ 39,90","R$ 13,97"
Godsgrave: O Espetáculo Sangrento,"R$ 69,90","R$ 34,95"
Gosto De Você,"R$ 39,90","R$ 13,97"
Grande Dicionário De Monstros,"R$ 59,90","R$ 29,95"
