COD_BARRA_ITEM,COD. HORUS,NOM_ITEM,NOM_EDITORA,VLR_CAPA,VLR PROMOCIONAL,GENERO
9788546902217,851682,IMAGENS DO DAOME,WMF - COEDIÇAO,"89,90","44,95",Artes
9788546902309,852237,DESVIOS,WMF - COEDIÇAO,"65,00","32,50",Artes
9788546902866,891059,IMPERTINENTES,WMF - COEDIÇAO,"65,00","32,50",Artes
9788578277574,719295,GUS,WMF - COEDIÇAO,"69,90","34,95",Artes
9788578277482,718811,CLAUDIO CRETTI,WMF - COEDIÇAO,"79,90","39,95",Artes
9788578276089,691966,PAISAGEM ZERO,WMF - COEDIÇAO,"89,90","44,95",Artes
9788578277017,708971,DA CABRA,WMF - COEDIÇAO,"59,90","29,95",Artes
9788546902989,896512,ALMANAQUE INSOLITO,WMF - COEDIÇAO,"89,90","44,95",Artes
9788578279189,745984,PASSADO - FUTURO,WMF - COEDIÇAO,"109,90","54,95",Música e Dança
9788546902224,852292,RODRIGO BIVAR,WMF - COEDIÇAO,"50,00","25,00",Artes
9788578279776,767219,CASA CAUCAIA - CENOGRAFIA INTELIGENTE,WMF - COEDIÇAO,"74,90","37,45",Design e Decoração
9788546902354,856044,ESTRANGEIRA,WMF - COEDIÇAO,"90,00","45,00",Filosofia
9788546903207,905800,"CALU FONTES - CAMADAS, CONTORNOS E RELEV",WS MF - COEDIÇAO,"70,00","35,00",Artes
9788546902392,882731,MORACY DO VAL SHOW!,WMF - COEDIÇAO,"59,90","29,95",Música e Dança
9788578277864,721360,JOGO DE CORPO,WMF - COEDIÇAO,"109,90","54,95",Música e Dança
9786586016369,928816,NELSON FELIX - BERCEUSE,WMF - COEDIÇAO,"190,00","95,00",Artes
9788578276560,701219,EM CENA - ENSAIOS SOBRE A COMPANHIA DE DA,WÇMA F - COEDIÇAO,"109,90","54,95",Música e Dança
9788546900961,791735,JULIO VILLANI 1+1+1,WMF - COEDIÇAO,"145,00","72,50",Artes
9788546900992,791485,HUDINILSON JR. - POSIÇAO AMOROSA,WMF - COEDIÇAO,"80,00","40,00",Artes
9788546902453,860648,SAO PAULO COMPANHIA DE DANÇA - 10 ANOS,WMF - COEDIÇAO,"179,90","89,95",Artes
9788546903214,903105,"LINDO SONHO DELIRANTE, UM",WMF - COEDIÇAO,"130,00","65,00",Artes
9788546902347,856599,EMPENA O AMPARO,WMF - COEDIÇAO,"159,90","79,95",Artes
9788578276195,695056,CLAUDIO NOVAES/ CONCEITO/ DESIGN/ DIREÇA,WMF - COEDIÇAO,"99,90","49,95",Linguagem e comun
9788578276188,696909,ICONOGRAFIA PAULISTANA,WMF - COEDIÇAO,"64,90","32,45",Linguagem e comun
9788546901821,858092,"ESCOLHA DE SHIRAZ, A - UM CONTO IRANIANO",WMF MARTINS FON,"ES49,90","24,95",Infantis e Juvenis
9788546901401,809976,ENSINANDO A TRANSGREDIR,WMF MARTINS FON,"ES49,90","24,95",Educação
9788578273743,647403,"ULTIMO DESEJO, O - THE WITCHER - A SAGA DO",RWUMXOF MGEARRATLINT SD FEO RNI,"IEAS - VOL. 15 (4C,A9P0A CLASSIC",")27,45",Literatura Estrangei
9788578279585,757450,"ULTIMO DESEJO, O - THE WITCHER - VOL. 1 (CAP",WGAMMF EM) ARTINS FON,"ES54,90","27,45",Literatura Estrangei
9788578276829,710157,MITOS GREGOS,WMF MARTINS FON,"ES64,90","32,45",Infantis e Juvenis
9788578276850,709760,"SANGUE DOS ELFOS, O - THE WITCHER - A SAGA",OW BMRFU MXOA RGTEIRNAS LFTO DN,"ERSIVIA - VO5L4. ,39 0(CAPA CLA","SICA)27,45",Literatura Estrangei
9788578275563,687855,"ESPADA DO DESTINO, A - THE WITCHER - A SAGA",WOM BFR UMXAOR GTIENRSA FLOT N,"EE RSIVIA - VO54L., 920 (CAPA CLA","SICA)27,45",Literatura Estrangei
9788578279592,757456,"SANGUE DOS ELFOS, O - THE WITCHER - VOL.3 (C",WPAM GFAMAER)TINS FON,"ES54,90","27,45",Literatura Estrangei
9788578279769,765113,"LADO DIFICIL DAS SITUAÇOES DIFICEIS, O",WMF MARTINS FON,"ES49,90","24,95",Administração
9788578279820,764807,BATISMO DE FOGO - THE WITCHER - A SAGA DO,RWUMXOF  MGEARATLINT SD FEO RNI,"IEAS - VOL. 55 (4C,A90PA CLASSIC",")27,45",Literatura Estrangei
9788578279554,757451,"ESPADA DO DESTINO, A - THE WITCHER - VOL. 2 (",WAPMAF G MAMARET)INS FON,"ES54,90","27,45",Literatura Estrangei
9786586016161,942012,VOCÊ QUER SER MEU AMIGO?,WMF MARTINS FON,"ES49,90","24,95",Infantis e Juvenis
9786586016390,925814,MAFALDA - FEMININO SINGULAR,WMF MARTINS FON,"ES44,90","22,45",Humor e Quadrinho
9788578279851,764809,BATISMO DE FOGO - THE WITCHER - VOL. 5 (CAP,W GMAMF EM) ARTINS FON,"ES54,90","27,45",Literatura Estrangei
9788578276409,706779,DICIONARIO ESCOLAR WMF - INGLES-PORTUGUE,W/ PMOFR MTUAGRUTEINS-SI NFOGNL,"SES64,90","32,45",Dicionários
9788546902538,865461,TEMPO DE TEMPESTADE - THE WITCHER - A SAG,WDOM BFR MUAXROT GINESR AFOLTN,"ES RIVIA - P5R4E,9LU0DIO (CAP","CLASSICA)27,45",Literatura Estrangei
