"","TABELA DE PREÇOSZAGODONI EDITORA",,,,,,,,,,,
Autor(es),Título,Edição,Págs.,"Peso(g)",ANO,"Formato(cm)","Lombada(cm)","Encadernação",ISBN,Status,Preço,"Com desc.50%"
"Iaconelli, Vera",(n. 2) Mal-estar na maternidade,2,160,311,2020,16x23,"0,10.",brochura,978-65-86711-04-2,disp,"54,00","27,00"
"Soler, Colette",(n. 4) O Inconsciente: O Que É Isso?,2,160,240,2020,16x23,"0,10.",brochura,978-65-86711-10-3,disp,"54,00","27,00"
"Dunker, Christian",(n. 5) Estrutura e constituição da clínica psicanalítica         – U,a ar2que,lo5g4ia0 d,s p8rá8t5ica,d2e0 c2u1ra,ps1ic6oxt2e3rap,"a e tr0a,2tame",tborochura,978-65-86711-21-9,disp,"119,00","59,50"
"Cossi, Rafael",(n. 6) Lacan e o Feminismo,2,312,410,2020,16x23,"0,12",brochura,978-65-86711-06-6,disp,"79,00","39,50"
"Bialer, Marina",(n. 7) Historiando a Psicanálise: Vida e Obra de Reik,1,400,670,2020,16x23,"0,24",brochura,978-65-86711-05-9,disp,"95,00","47,50"
"Ambra, Pedro",(n. 8) O que é um homem,2,160,243,2021,16x23,"0,12",brochura,978-65-86711-30-1,disp,"54,00","27,00"
Dunker et al.,(n. 11) A Pele como Litoral – Fenômeno Psicossom.,2,228,400,2021,16x23,"0,12",brochura,978-65-86711-25-7,disp,"67,00","33,50"
Costa et al.,(n. 13) Psicanálise e Teoria Política Contemporânea,2,272,465,2021,16x23,"0,15",brochura,978-65-86711-43-1,disp,"76,00","38,00"
Autor(es),Título,Edição,Págs.,"Peso(g)",ANO,Formato,Lombada,"Encadernação",ISBN,Status,Preço,"Com desc.50%"
Cintra e Ribeiro,Por que Klein?,1,204,355,2018,16x23,"0,16",brochura,978-85-5524-069-0,disp,"63,00","31,50"
"Dunker, Christian",Por que Lacan?,1,270,475,2016,16x23,"0,16",brochura,978-85-5524-001-0,disp,"66,00","33,00"
"Fulgêncio, Leopoldo",Por que Winnicott?,1,202,326,2016,16x23,"0,13",brochura,978-85-5524-011-9,disp,"63,00","31,50"
Gerber e Figueiredo,Por que Bion,1,144,262,2018,16x23,"0,16",brochura,978-85-5524-086-7,disp,"46,00","23,00"
Kehl et al.,Por que Freud Hoje?,1,290,520,2017,16x23,"0,14",brochura,978-85-5524-040-9,disp,"69,00","34,50"
"Kupermann, Daniel",Por que Ferenzci?,1,142,300,2019,16x23,"0,11",brochura,978-85-5524-041-6,disp,"55,00","27,50"
Ribeiro et al.,Por que Laplanche?,1,131,200,2017,16x23,"0,10.",brochura,978-85-5524-053-9,disp,"46,00","23,00"
"",,,,,,,,,,,,
Autor(es),Título,Edição,Págs.,"Peso(g)",ANO,Formato,Lombada,"Encadernação",ISBN,Status,Preço,"Com desc.50%"
Almeida,Intervenção Psicanalítica na escola,1,132,197,2020,17x17,"0,10.",brochura,978-85-5524-114-7,disp,"39,00","19,50"
Batistelli et al.,Atendimento psicanalítico do autismo,1,175,285,2014,17x17,"0,12",brochura,978-85-64250-79-6,disp,"42,00","21,00"
Figueiredo,Atend. psicanalítico de pacientes-limite,1,140,230,2016,17x17,"0,10.",brochura,978-85-5524-024-9,disp,"37,00","18,50"
Franco,Atendimento psicoterapeutico do luto,1,96,140,2014,17x17,"0,09",brochura,978-85-64250-28-4,disp,"33,00","16,50"
Gomes et al.,Homoafetividades: dinâmicas conjugal e parental,1,118,183,2018,17x17,"0,10.",brochura,978-85-5524-060-7,disp,"37,00","18,50"
Gueller et al.,Atendimento psicanalítico de crianças,1,128,200,2011,17x17,"0,10.",brochura,978-85-64250-20-8,disp,"35,00","17,50"
Inst.Fazendo Hist.,Reflexões clínicas no contexto do acolhimento,1,156,240,2020,17x17,"0,12",brochura,978-65-86711-11-0,disp,"42,00","21,00"
Kupermann et al.,Atendimento psicanalitico da depressão,1,160,236,2020,17x17,"0,12",brochura,978-85-5524-113-0,disp,"42,00","21,00"
Morgenstern et al.,Atend. psicanalítico de gêmeos,1,134,205,2018,17x17,"0,10.",brochura,978-85-5524-068-3,disp,"38,00","19,00"
"",,,,,,,,,,,,
Autor(es),Título,Edição,Págs.,"Peso(g)",ANO,Formato,Lombada,"Encadernação",ISBN,Status,Preço,"Com desc.50%"
Abrão,Marialzira Perestrello,1,137,210,2018,16x23,"0,10.",brochura,978-85-5524-064-5,disp,"43,00","21,50"
Abrão,As Contribuições  de Oswaldo Di Loreto à Psican.,1,144,260,2021,16x23,"0,10.",brochura,978-65-86711-41-7,disp,"46,00","23,00"
Agüero,Arriscando a Palavra,1,125,190,2012,14x21,"0,10.",brochura,978-85-64250-44-4,disp,"32,00","16,00"
Almeida,Sobreviventes de Cancer Infantojuvenil,1,200,352,2020,16x23,"0,12",brochura,978-85-5524-110-9,disp,"64,00","32,00"
Amarante,Teoria critica em saúde mental,2,138,200,2017,14x23,"0,10.",brochura,978- 85-5524-038-6,disp,"48,00","24,00"
Amarante,Lugares da Memória,1,128,240,2017,16x23,"0,10.",brochura,978-85-5524-046-1,disp,"46,00","23,00"
Archangelo,Capacidade para Não Aprender,1,160,285,2020,16x23,"0,11.",brochura,978-65-86711-08-0,disp,"53,00","26,50"
Ávila,Grupos - uma Perspectiva Psicanalítica,1,167,295,2016,16x23,"0,10.",brochura,978-85-5524-019-5,disp,"53,00","26,50"
Azevedo,Vínculo mãe-bebê e conflitos edípicos,1,136,220,2019,14x21,"0,10.",brochura,978-85-5524-085-0,disp,"46,00","23,00"
Balint,A falha básica,2,192,340,2014,16x23,"0,12",brochura,978-85-64250-63-5,disp,"62,00","31,00"
Belo,Clinica Psicanalitica On-line,1,112,175,2020,14x21,"0,10.",brochura,978-65-86711-02-8,disp,"39,00","19,50"
Birman et al.,Psicanálise e política,1,144,265,2020,16x23,"0,12",brochura,978-65-86711-18-9,disp,"55,00","27,50"
Birman et al.,"Guerra, Catástrofe e Risco",1,130,190,2018,14x21,"0,10.",brochura,978-85-5524-067-6,disp,"44,00","22,00"
Bonomi,Por que ignoramos Freud o “pediatra”?,1,104,260,2021,16x23,"0,10.",brochura,978-65-86711-38-7,disp,"42,00","21,00"
Bouças,A loucura histérica,1,128,128,2019,14x21,"0,10.",brochura,978-85-5524-094-2,disp,"46,00","23,00"
Brandt,Fund. da Psicol. Relações de trabalho,1,142,265,2014,16x23,"0,10.",brochura,978-85-64250-42-0,disp,"43,00","21,50"
Brito,Consultas com Pais na Psicoterapia Psicanlítica,1,140,210,2017,14x21,"0,10.",brochura,978-85-5524-054-6,disp,"47,00","23,50"
Brunhari et al.,Diversidade e Mal-Estar na Saúde: Modos de Cuidar,1,200,360,2021,16x23,"0,13",brochura,978-65-86711-33-2,disp,"68,00","34,00"
Cabral,Os Édipos na Letra de Jacques Lacan,1,160,292,2021,16x23,"0,11.",brochura,978-65-86711-20-2,disp,"56,00","28,00"
Calligaris,Introdução a uma Clínica Diferencial das Psicoses,2,138,265,2013,16x23,"0,10.",brochura,978-85-64250-64-2,disp,"44,00","22,00"
Ceccareli et al.,"Psicanálise, Sexualidade e Gênero",1,136,219,2019,16x23,"0,10.",brochura,978-85-5524-105-5,disp,"46,00","23,00"
Cintra,Para Além da Contratransferência,1,203,365,2017,16x23,"0,12",brochura,978-85-5524-044-7,disp,"60,00","30,00"
Cysneiros,Sobre Arte e Fogo,1,176,323,2021,16x23,"0,012",brochura,"978-65-86711-36-3978-65-86711-14-1978-65-86711-12-7",disp,"49,00","24,50"
"Costa, Jurandir",Violência e Psicanálise,4,248,325,2021,16x23,"0,17",brochura,disp,"65,00","32,50",
Debieux et al.,Além do vírus: psicanálise e resistência,1,136,248,2020,16x23,"0,10.",brochura,disp,"46,00","23,00",
Desviat,Coabitar a Diferença,1,248,390,2018,14x23,"0,14",brochura,978-85-5524-052-2,disp,"60,00","30,00"
Dunker,Falando Nisso,1,129,195,2017,14x21,"0,10.",brochura,978-85-5524-035-5,disp,"43,00","21,50"
Duvidovich et al.,A Supervisão Psicanalítica: Ofício e Transmissão,1,176,326,2020,16x23,"0,12",brochura,978-65-86711-19-6,disp,"56,00","28,00"
Duvidovich et al.,Diálogos sobre formação e transmissão em Psican.,1,204,365,2013,16x23,"0,12",brochura,978-85-64260-60-4,disp,"48,00","24,00"
Fante,Dor sem Escuta,1,128,183,2019,14x21,"0,10.",brochura,978-85-5524-090-4,disp,"45,00","22,50"
Fante,Entrelinhas da Vida,1,110,183,2019,14x21,"0,10.",brochura,978-85-5524-000-3,disp,"45,00","22,50"
Fedri,Dor de Mãe,1,125,195,2017,14x21,"0,10.",brochura,978-85-5524-055-3,disp,"46,00","23,00"
Ferreira,Frances Tustin - Nomeando o inominável,1,144,262,2015,16x23,"0,10.",brochura,"978-85-5524-000-3978-85-5524-099-7978-85-64250-71-0978-65-86711-24-0",disp,"43,00","21,50"
França,Universidade e Psicanálise,1,168,200,2019,16x23,"0,11",brochura,disp,"49,00","24,50",
Gaiarsa,Psicanálise e liberdade,1,80,165,2013,14x21,"0,09",brochura,disp,"29,00","14,50",
Gerotto,"Entre muros, espelhos e dilemas",1,376,636,2021,16x23,"0,22",brochura,disp,"89,00","44,50",
Giglio,O Brasil e as Copas do Mundo,1,158,295,2014,16x23,"0,11",brochura,978-85-64250-75-8,disp,"43,00","21,50"
Giongo,O Coeficiente Familiar na Psicologia Moderna,1,127,200,2017,14x21,"0,10.",brochura,978-85-5524-051-5,disp,"44,00","22,00"
