ZARABATANA BOOKS,LISTA DE LIVROS,,
"","Festa Virtual do Livroda USP 2021",,
Título,Autor,"Preçode capa","P   r e  ç  o comdesconto"
O Prolongado Sonho do Sr. T,Max,"36,00","R$    18,00"
"Whoa, Nellie!",Jaime Hernadez,"36,00","R$    18,00"
Maakies,Tony Millionaire,"36,00","R$    18,00"
Pyongyang,Guy Delisle,"52,00","R$    26,00"
Escombros,Dave Cooper,"36,00","R$    18,00"
Clara da Noite,"Carlos Trillo, Jordi Bernet","36,00","R$    18,00"
Underworld,Kaz,"36,00","R$    18,00"
Cicca Dum-Dum,"Carlos Trillo, Jordi Bernet","36,00","R$    18,00"
Oninbo e os Vermes do Inferno 1,Hideshi Hino,"38,00","R$    19,00"
Oninbo e os Vermes do Inferno 2,Hideshi Hino,"38,00","R$    19,00"
Dr. Bubbles & Tilt - Sideral,Tulio Caetano,"32,00","R$    16,00"
Macanudo 1,Liniers,"52,00","R$    26,00"
Vida Boa,Fabio Zimbres,"44,00","R$    22,00"
Macanudo 2,Liniers,"52,00","R$    26,00"
Shenzhen,Guy Delisle,"48,00","R$    24,00"
Banzo e Benito,MZK,"36,00","R$    18,00"
Macanudo 3,Liniers,"52,00","R$    26,00"
Gefangene - Sem Saída,Koostela,"36,00","R$    18,00"
A Guerra de Alan,Emmanuel Guibert,"56,00","R$    28,00"
Éden,Kioskerman,"44,00","R$    22,00"
Bonjour,Liniers,"52,00","R$    26,00"
Batu,Tute,"36,00","R$    18,00"
Fierro Brasil 1,Diversos autores,"64,00","R$    32,00"
Noturno,Salvador Sanz,"62,00","R$    31,00"
Vigor Mortis Comics 1,José Aguiar,"38,00","R$    19,00"
Ocre,Gilmar,"32,00","R$    16,00"
Saino a Percurá,Lelis,"56,00","R$    28,00"
Faces do Humor,Paulo Ramos,"42,00","R$    21,00"
Drácula,Rodolfo Zalla,"40,00","R$    20,00"
Macanudo 4,Liniers,"52,00","R$    26,00"
Dora,Ignacio Minaverry,"56,00","R$    28,00"
Fierro Brasil 2,Diversos autores,"64,00","R$    32,00"
Mas Podemos Continuar Amigos,Mawil,"36,00","R$    18,00"
Macanudo 5,Liniers,"52,00","R$    26,00"
Minha Vida Ridícula,Adão Iturrusgarai,"48,00","R$    24,00"
Brumas Sobre a Pont de Tolbiac,"Jacques Tardi, Léo Malet","36,00","R$    18,00"
Crônicas de Jerusalém,Guy Delisle,"82,00","R$    41,00"
Desistência do Azul,Leandro Melite,"58,00","R$    29,00"
Povos Indígenas em Quadrinhos,Sergio Macedo,"56,00","R$    28,00"
O Bom e Velho Cuttlas,Calpurnio,"36,00","R$    18,00"
Sabor Brasilis,"Hector Lima, Pablo Casado","46,00","R$    23,00"
Causos do Santiago,Santiago,"44,00","R$    22,00"
Macanudo 6,Liniers,"52,00","R$    26,00"
A Máquina do Tempo,Adão Iturrusgarai,"48,00","R$    24,00"
Paolo Pinocchio,Lucas Varela,"56,00","R$    28,00"
Crônicas Birmanesas,Guy Delisle,"58,00","R$    29,00"
A Vida de Jonas,"Magno Costa, Marcelo Costa","50,00","R$    25,00"
Legião,Salvador Sanz,"46,00","R$    23,00"
Macanudo 7,Liniers,"52,00","R$    26,00"
Lucky Luke - Vol. 4 - Brochura,"Morris, Goscinny","98,00","R$    49,00"
Lucky Luke - Vol. 4 - Capa Dura,"Morris, Goscinny","118,00","R$    59,00"
Macanudo 8,Liniers,"52,00","R$    26,00"
O Jogo das Andorinhas,Zeina Abirached,"44,00","R$    22,00"
Garatujas,Liniers,"58,00","R$    29,00"
Rocky & Hudson,Adão Iturrusgarai,"68,00","R$    34,00"
Necronauta I,Danilo Beyruth,"44,00","R$    22,00"
Os Quadrinistas,Télio Navega,"40,00","R$    18,00"
Perigo no Circo Sombrio,Aluir Amancio,"36,00","R$    18,00"
Dupin,Leandro Melite,"72,00","R$    36,00"
A Ameaça do Barão Macaco,"Hector Lima, Milton Sobreiro","36,00","R$    18,00"
Spam,"Germana Viana, Camila Torrano et al.","44,00","R$    20,00"
Mute,Marco Oliveira,"36,00","R$    18,00"
Bienvenido,Paulo Ramos,"44,00","R$    22,00"
Mulheromem - A História Inserta,"Hector Lima, Anderson Nascimento","32,00","R$    16,00"
Erzsébet,Nunsky,"48,00","R$    24,00"
O Esqueleto 2: O Museu Esquecido,Salvador Sanz,"44,00","R$    22,00"
Finório,Marco Oliveira,"36,00","R$    18,00"
Rasga-Mortalhas,"Diogo Bercito, Pedro Vergani","40,00","R$    20,00"
O Guia Do Pai Sem Noção,Guy Delisle,"44,00","R$    22,00"
Lucky Luke - Vol. 5 - Capa Brochura,"Morris, Goscinny","98,00","R$    49,00"
Lucky Luke - Vol. 5 - Capa Dura,"Morris, Goscinny","118,00","R$    59,00"
Macanudo 9,Liniers,"52,00","R$    26,00"
A Herança Becker - Capa Brochura,"Magno Costa, Marcelo Costa","76,00","R$    38,00"
A Herança Becker - Capa Dura,"Magno Costa, Marcelo Costa","92,00","R$    46,00"
Fugir - O Relato de um Refém,Guy Delisle,"98,00","R$    49,00"
Música para Antropomorfos,Fabio Zimbres,"40,00","R$    20,00"
Gibi de Menininha 1,"Germana Viana, Camila Torrano et al.","38,00","R$    19,00"
O Segredo de Baba Ganush,Caio Yo,"38,00","R$    19,00"
Macanudo 10 - Edição Especial,Liniers,"86,00","R$    43,00"
O Esqueleto 3: O Fim de Todas as Espécies,Salvador Sanz,"44,00","R$    22,00"
Gibi de Menininha 2,"Germana Viana, Camila Torrano et al.","38,00","R$    19,00"
Penpengusa,"Milena Azevedo, Rodrigo Xavier","48,00","R$    24,00"
Bando de Dois - Edição Colorida Capa Dura,Danilo Beyruth,"84,00","R$    42,00"
Meta,"Marcelo Saravá, André Freitas","60,00","R$    30,00"
Bio HQ,Diversos autores,"50,00","R$    25,00"
Lucky Luke - Vol. 6 - Capa Brochura,"Morris, Goscinny","108,00","R$    54,00"
Lucky Luke - Vol. 6 - Capa Dura,"Morris, Goscinny","128,00","R$    64,00"
Os Anos Allende,"Carlos Reyes, Rodrigo Elgueta","54,00","R$    27,00"
Mega,Salvador Sanz,"96,00","R$    48,00"
Carnaval,Lorenzo Mattotti,"86,00","R$    43,00"
Talvez Isso...,Marcelo Campos,"36,00","R$    18,00"
Florianópolis - Coleção Cidades Ilustradas,Eloar Guazzelli,"74,00","R$    37,00"
Porto Alegre - Coleção Cidades Ilustradas,Carlos Nine,"74,00","R$    37,00"
Brasília - Coleção Cidades Ilustradas,Edgar Vasques,"74,00","R$    37,00"
São Luís - Coleção Cidades Ilustradas,"Fábio Moon, Gabriel Bá","74,00","R$    37,00"
Manaus - Coleção Cidades Ilustradas,Lourenço Mutarelli,"74,00","R$    37,00"
Reisetagebuch,José Aguiar,"76,00","R$    38,00"
Folheteen - Direto ao Ponto,José Aguiar,"50,00","R$    22,00"
Coisas de Adornar Paredes,José Aguiar,"36,00","R$    18,00"
"Dez Designers, Três Gerações",Diversos autores,"60,00","R$    30,00"
Exposição Internacional de Cartazes,Diversos autores,"60,00","R$    30,00"
Com a Palavra os Ilustradores,Diversos autores,"48,00","R$    24,00"
Morphine,Mário Cau,"36,00","R$    18,00"
Quando a Noite Fecha os Olhos,"André Diniz, Mário Cau","36,00","R$    18,00"
A Menina do Circo Tibúrcio,Santiago,"48,00","R$    24,00"
"Preços promocionais váldos para a Festa do Livro da USP 2021, enquanto durarem os estoques. Envio grátis paracompras acima de R$ 240,00. Troca somente em caso de defeito do exemplar, não aceitamos devoluções.",,,
https://zarabatana.com.br/loja/,,,
