O Alienista - Edição de Luxo,"de Assis, Machado","69,90","34,95"
O retrato de Dorian Gray - Edição de Luxo,"Wilde, Oscar","79,90","39,95"
O Fantástico mundo da filosofia,"F. Patton, Michael","89,90","44,95"
Razão e Sensibilidade - Edição de Luxo,"Austen, Jane","69,90","34,95"
DUNGEONS & DRAGONS – Feras & Colossos,"Zub, Jim; King, Stacy; Wheeler, Andrew","79,90","39,95"
"","Shelley, Mary; Stoker, Bram; Lovecraft,",,
Kit O Melhor do Terror em edição de luxo,"H.P.; Louis Stevenson, Robert","249,90","124,95"
"Capitã Marvel: mais alto, mais longe, mais rápido","Palmer, Liza","69,90","34,95"
Memórias do subsolo,"Dostoiévski, Fiódor","69,90","34,95"
"As extraordinárias aventuras de Arsène Lupin, o ladrão de",,,
casaca,"Leblanc, Maurice","69,90","34,95"
O grande Gatsby - Edição de Luxo,"Scott Fitzgerald, F.","69,90","34,95"
Persuasão - Edição de Luxo,"Austen, Jane","69,90","34,95"
O Morro dos Ventos Uivantes - Edição de Luxo,"Brontë, Emily","69,90","34,95"
Cyberpunk 2077: trauma team,"Bunn, Cullen; Valderrama, Miguel","79,90","39,95"
Viva para contar a história: Táticas de combate para,,,
jogadores de Dungeons & Dragons,"Ammann, Keith","89,90","44,95"
A Revolução dos Bichos - Edição de Luxo,"Orwell, George","69,90","34,95"
Viagem ao centro da Terra - Edição de Luxo,"Verne, Júlio","69,90","34,95"
A Guerra dos Mundos - Edição de Luxo,"Wells, H. G.","69,90","34,95"
O médico e o monstro & outras histórias,"Louis Stevenson, Robert","69,90","34,95"
O melhor de Edgar Allan Poe,"Allan Poe, Edgar","69,90","34,95"
1984 - Edição de Luxo,"Orwell, George","69,90","34,95"
Cobra Kai – A Saga Karatê Kid Continua: a história de,"J. Tipton, Denton; McLeod, Kagan;",,
Johnny,"Delgado, Luis Antonio; Uyetake, Neil","79,90","39,95"
Orgulho e Preconceito,"Austen, Jane","79,90","39,95"
A imbatível Garota-Esquilo – Desbravando o mundo,"Hale, Shannon; Hale, Dean","69,90","34,95"
Anne de Green Gables - Edição de Luxo,"Maud Montgomery, Lucy","69,90","34,95"
Now United – Exclusivo para Fãs,Equipe Book One,"39,90","19,95"
Viúva Negra – Vingança vermelha,"Stohl, Margaret","69,90","34,95"
Blade Runner 2019 Off-World,"Green, Michael; Johnson, Mike","79,90","39,95"
"Vingadores ultimato: O anjo pirata, a árvore falante e o",,,
capitão guaxinim,"Behling, Steve","69,90","34,95"
Trolls 2 – O Livro do Filme,"Lewman, David; Laguna, Fabio","39,90","19,95"
Os monstros sabem o que estão fazendo: táticas de combate,,,
para mestres de Dungeons & Dragons,"Ammann, Keith","89,90","44,95"
Homem-Aranha: Miles Morales,"Reynolds, Jason","69,90","34,95"
Viúva Negra - Vermelho Eterno,"Stohl, Margaret","69,90","34,95"
Drácula - Edição de Luxo,"Stoker, Bram","69,90","34,95"
Homem de Ferro - A manopla,"Colfer, Eoin","69,90","34,95"
Pantera Negra: O Jovem Príncipe,"Smith, Ronald L.","69,90","34,95"
Bloodshot,"Smith, Gavin; Diesel, Vin","49,90","24,95"
Capitã Marvel,"Behling, Steve","59,90","29,95"
O Melhor de H.P. Lovecraft,"Lovecraft, Howard P.","69,90","34,95"
"","Green, Michael; Johnson, Mike; Guinaldo,",,
Blade Runner 2019,Andres,"79,90","39,95"
Projeto Gemini,"Books, Titan","69,90","34,95"
Frankenstein,"Shelley, Mary","69,90","34,95"
Loki,"Lee, Mackenzie","69,90","34,95"
Fahrenheit 451,"Bradbury, Ray","79,90","39,95"
Os Vingadores Guerra Infinita,"Lyga, Barry","69,90","34,95"
Arcanjo,"Gibson, William; St. John Smith, Michael","79,90","39,95"
Dungeons & Dragons,"Zub, Jim; King, Stacy; Wheeler, Andrew","79,90","39,95"
Dungeons & Dragons,"Zub, Jim; King, Stacy; Wheeler, Andrew","79,90","39,95"
Alien,"Simonson, Walter; Goodwin, Archie","69,90","34,95"
Os Vingadores,"Palmer, Liza","69,90","34,95"
