ISBN,PRODUTO,AUTOR,PREÇO,PREÇO USP
9788594840172,A MENINA EM PEDACOS,GIAN TARALLI,"38,00",19
9788565056359,CAIXA DE FERRAMENTAS EM MEDIACAO,"ALMEIDA, TANIA (AUTOR)","62,00",31
9788565056281,CARNES COM PRAZER 1,"CAMARGO, IVO","25,00","12,5"
9788565056267,CARNES COM PRAZER 2,"CAMARGO, IVO","25,00","12,5"
9788565056298,CARNES COM PRAZER 4,"CAMARGO, IVO","25,00","12,5"
9788594840127,CLIENTERAPIA,LETICIA LAGO,"48,00",24
9788565056342,COLECAO CARNES COM PRAZER,"CAMARGO, IVO","90,00",45
9788594840103,FAZER ACONTECER,"RIBEIRO, JULIO (AUTOR)","49,00","24,5"
9788594840196,FUNDAMENTOS E PRATICAS TRANSFORMATIVAS,"ALVES, LOURDES FARIAS(ORGANIZADOR)","73,00","36,5"
9788565056878,GESTAO DE ATIVOS E PASSIVOS,"FANTIN, LUCIANO (AUTOR),KONDO, DANIEL Y. S. (AUTO","53,00","26,5"
9788565056458,JUSTICA RESTAURATIVA EM ACAO,"GRECCO, AIMEE (AUTOR),ASSUMPCAO, CECILIA (AUTOR),","46,00",23
9788565056939,MAE EM CONSTRUCAO,ISABEL COUTINHO,"45,00","22,5"
9788565056076,MAMAE CONTA TUDO - VOLUME 1,FLAVIA FIORILLO,"39,00","19,5"
9788565056090,MARKETING DE ATITUDE,"RIBEIRO, JULIO (AUTOR)","37,00","18,5"
9788565056861,MEDIACAO IN COMPANY,"RAMOS, ELIARA MARINHO PONTES","65,00","32,5"
9788594840134,O BRAINSTORM EFICAZ,RODRIGO ESTEVES,"30,00",15
9788565056649,OBA! QUE FRIO!,LALAU,"37,00","18,5"
9788565056779,"ODIO, RAIVA, IRA E OUTROS PRAZERES DIARIOS",MENTOR MUNIZ NETO,"45,00","22,5"
9788594840042,PILARES DAS ORGANIZACOES DO FUTURO,BARTOLOMEU ALVES,"38,00",19
9788565056991,PROIBIDO ESTACIONAR,MENTOR MUNIZ NETO,"47,00","23,5"
9788565056113,SERAFINA NUNCA PARA,"OLIVEIRA, MARIANA","32,00",16
9788594840059,SOMOS TODOS DECORADORES,CINTHIA DOMENICO,"36,00",18
9788565056595,TELETEMA,GUILHERME BRIAN,"69,00","34,5"
