Título,Autor,Preço de capa,Preço com desconto
"01 - PINTURA, A - O MITO DA PINTURA","Lichtenstein, Jacqueline (org.)","R$45,00","R$22,50"
"02 - PINTURA, A - A TEOLOGIA DA IMAGEM...","Lichtenstein, Jacqueline (org.)","R$45,00","R$22,50"
"03 - PINTURA, A - A IDEIA E AS PARTES DA PINTURA","Lichtenstein, Jacqueline (org.)","R$45,00","R$22,50"
"04 - PINTURA, A - O BELO","Lichtenstein, Jacqueline (org.)","R$45,00","R$22,50"
"05 - PINTURA, A - DA IMITAÇÃO A EXPRESSÃO","Lichtenstein, Jacqueline (org.)","R$45,00","R$22,50"
"06 - PINTURA, A - A FIGURA HUMANA","Lichtenstein, Jacqueline (org.)","R$45,00","R$22,50"
"07 - PINTURA, A - O PARALELO DAS ARTES","Lichtenstein, Jacqueline (org.)","R$45,00","R$22,50"
"08 - PINTURA, A - DESCRIÇÃO E INTERPRETAÇÃO","Lichtenstein, Jacqueline (org.)","R$45,00","R$22,50"
"09 - PINTURA, A - O DESENHO E A COR","Lichtenstein, Jacqueline (org.)","R$45,00","R$22,50"
"10 - PINTURA, A - OS GÊNEROS PICTÓRICOS","Lichtenstein, Jacqueline (org.)","R$45,00","R$22,50"
"11 - PINTURA, A - AS ESCOLAS E O PROBLEMA...","Lichtenstein, Jacqueline (org.)","R$45,00","R$22,50"
"12 - PINTURA, A - O ARTISTA, A FORMAÇÃO...","Lichtenstein, Jacqueline (org.)","R$45,00","R$22,50"
"13 - PINTURA, A - O ATELIÊ DO PINTOR","Lichtenstein, Jacqueline (org.)","R$45,00","R$22,50"
"14 - PINTURA, A - VANGUARDAS E RUPTURAS","Lichtenstein, Jacqueline (org.)","R$45,00","R$22,50"
20 POEMAS PARA LER NO BONDE,"Girondo, Oliverio","R$46,00","R$23,00"
A MEIA-LUZ,"Menezes, Paulo","R$58,00","R$29,00"
A TEORIA DO ROMANCE,"Lukács, Georg","R$57,00","R$28,50"
ABSOLUTAMENTE NADA E OUTRAS HISTORIAS,"Walser, Robert","R$49,00","R$24,50"
"ADOLESCENTE, O","Dostoiévski, Fiódor","R$98,00","R$49,00"
ADONIRAN: DA LICENCA DE CONTAR...,"Mugnaini Jr., Ayrton","R$64,00","R$32,00"
AGUA FUNDA,"Guimarães, Ruth","R$49,00","R$24,50"
AISTHESIS,"Rancière, Jacques","R$72,00","R$36,00"
"ALDEIA DE STEPANTCHIKOVO E SEUS HABITANTES, A","Dostoiévski, Fiódor","R$68,00","R$34,00"
ALEXANDRA,Lícofron,"R$54,00","R$27,00"
ALICE - EDICAO COMEMORATIVA 150 ANOS - 2 VOL,"Carrol, Lewis","R$87,00","R$43,50"
ALMAS MORTAS,"Gógol, Nikolai","R$87,00","R$43,50"
ALUCINANDO FOUCAULT,"Duncker, Patricia","R$52,00","R$26,00"
"AMOR DE MITIA, O","Búnin, Ivan","R$46,00","R$23,00"
ANALISE-ACAO,"Knebel, Maria","R$73,00","R$36,50"
ANATOMIA DO PARAISO,"Bracher, Beatriz","R$61,00","R$30,50"
ANDAR POR AI,"Martins, Isabel Minhós; Matoso, Madalena","R$42,00","R$21,00"
ANIMAIS,"Antunes, Arnaldo e Moreau, Zaba","R$52,00","R$26,00"
ANITA MALFATTI: BIOGRAFIA E ESTUDO DA OBRA,"Batista, Marta Rossetti","R$92,00","R$46,00"
ANNA KARIENINA,"Tolstói, Lev","R$119,00","R$59,50"
"ANO NU, O (NARRATIVAS DA REVOLUÇÃO)","Pilniák, Boris","R$59,00","R$29,50"
"ANOMALIA SELVAGEM, A","Negri, Antonio","R$74,00","R$37,00"
"ANOS DE APRENDIZADO DE WILHELM MEISTER, OS","Goethe, Johann Wolfgang von","R$98,00","R$49,00"
ANOTACOES DE UM JOVEM MEDICO,"Bulgákov, Mikhail","R$54,00","R$27,00"
"ANTI-EDIPO, O","Deleuze, Gilles e Guattari, Félix","R$87,00","R$43,50"
ANTOLOGIA DO HUMOR RUSSO,"Cavaliere, Arlete (org.)","R$98,00","R$49,00"
ANTOLOGIA DO PENSAMENTO CRITICO RUSSO,"Gomide, Bruno Barretto (org.)","R$98,00","R$49,00"
ANTONIO - BEATRIZ BRACHER,"Bracher, Beatriz","R$46,00","R$23,00"
ANTONIO CANDIDO 100 ANOS,"Fonseca, Maria Augusta e Schwarz, Roberto (orgs.)","R$89,00","R$44,50"
"ANTROPOCENO E A CIÊNCIA DO SISTEMA TERRA, O","Veiga, José Eli da","R$45,00","R$22,50"
AO VENCEDOR AS BATATAS,"Schwarz, Roberto","R$54,00","R$27,00"
"ARAME DE ALEXANDRE, O","Posthuma, Sieb","R$42,00","R$21,00"
"ARANHA NEGRA, A","Gotthelf, Jeremias","R$49,00","R$24,50"
ARMAS DE PAPEL,"Alves, Fabio Cesar","R$65,00","R$32,50"
ARQUITETURA NA ERA DIGITAL-FINANCEIRA,"Arantes, Pedro Fiori","R$69,00","R$34,50"
ARQUITETURA NOVA,"Arantes, Pedro Fiori","R$57,00","R$28,50"
AR-REVERSO (ATEMWENDE),"Celan, Paul","R$54,00","R$27,00"
"ARTE DE DESAPARECER, A","Novey, Idra","R$61,00","R$30,50"
"ARTE DE LER, A","Petit, Michèle","R$65,00","R$32,50"
ARTE E MEIO ARTISTICO: ENTRE A FEIJOADA ...,"Amaral, Aracy A.","R$95,00","R$47,50"
ARTES PLASTICAS NA SEMANA DE 22,"Amaral, Aracy A.","R$65,00","R$32,50"
"ARTISTA DA PA, O (CONTOS DE KOLIMÁ 3)","Chalámov, Varlam","R$76,00","R$38,00"
"ARTISTAS BRASILEIROS NA ESCOLA DE PARIS, OS","Batista, Marta Rossetti","R$105,00","R$52,50"
"ARVORE DOS SAPATOS, A","Lang, Emilia","R$42,00","R$21,00"
"ASNO DE OURO, O",Apuleio,"R$88,00","R$44,00"
"ATLANTICO NEGRO, O","Gilroy, Paul","R$76,00","R$38,00"
AURORA,"Paranaguá, João de","R$37,00","R$18,50"
AUTOBIOGRAFIA DO VERMELHO,"Carson, Anne","R$52,00","R$26,00"
AVENTURAS DE ALICE NO PAIS DAS MARAVILHAS,"Carroll, Lewis","R$49,00","R$24,50"
"AVENTURAS DE GEORG SIMMEL, AS","Waizbort, Leopoldo","R$87,00","R$43,50"
"AVES, AS",Aristófanes,"R$42,00","R$21,00"
AZUL E DURA,"Bracher, Beatriz","R$44,00","R$22,00"
"BALAO NO DESERTO, UM","Vincent, Gabrielle","R$39,00","R$19,50"
"BANQUETE, O",Platão,"R$59,00","R$29,50"
BAQUE,"Weintraub, Fabio","R$37,00","R$18,50"
"BEIJO E OUTRAS HISTORIAS, O","Tchekhov, A. P.","R$61,00","R$30,50"
BERGSONISMO,"Deleuze, Gilles","R$49,00","R$24,50"
"BGA, O","Dahl, Roald","R$47,00","R$23,50"
BICHOS MALVADOS,"Dahl, Roald","R$45,00","R$22,50"
BIGORNAS,"Nigri, Yasmin","R$42,00","R$21,00"
BLAISE CENDRARS NO BRASIL E OS MODERNISTAS,"Amaral, Aracy A.","R$51,00","R$25,50"
BOBOK,"Dostoiévski, Fiódor","R$42,00","R$21,00"
"BOTIJA, A","Tavares, Clotilde","R$43,00","R$21,50"
BRESSER-PEREIRA: RUPTURAS DO PENSAMENTO,"Villaverde, João e Rego, José Márcio","R$76,00","R$38,00"
BREVIARIO DOS POLITICOS,"Mazarin, Cardeal","R$43,00","R$21,50"
BROCK,"Dapieve, Arthur","R$58,00","R$29,00"
BURITI DO BRASIL E DA GRECIA,"Roncari, Luiz","R$54,00","R$27,00"
