1984,George Orwell,"R$ 24,50","R$              12,25"
"10 COISAS MAIS IMPORTANTES QUE OS MORTOS QUEREM DIZER A VOCE, AS",MIKE DOOLEY,"R$ 33,90","R$              16,95"
"18 DE BRUMARIO DE LUIS BONAPARTE , O",KARL MARX,"R$ 39,00","R$              19,50"
ABC DO COMUNISMO,IEVGUENI PREOBRAJENSKI,"R$ 36,90","R$              18,45"
Além do bem e do mal,NIETZSCHE,"R$ 49,00","R$              24,50"
"ALIENISTA, O",MACHADO DE ASSIS,"R$ 22,90","R$              11,45"
Alzheimer o Dia de 36 Horas,DR. PETER V. RABINS,"R$ 89,00","R$              44,50"
"AMAR, VERBO INTRANSITIVO - IDILIO",MARIO DE ANDRADE,"R$ 34,90","R$              17,45"
AMOR - A MELHOR COISA DO MUNDO,HENRY DRUMMOND,"R$ 19,00","R$                9,50"
ANATOMIA COMPLETA DA MUSCULACAO,RICARDO CANOVAS LINARES,"R$ 139,00","R$              69,50"
ANATOMIA COMPLETA DO YOGA - FISICA E ENERGETICA,MIREIA PATINO COLL,"R$ 145,00","R$              72,50"
"ANJOS, OS",TOMAS DE AQUINO (SANTO),"R$ 79,90","R$              39,95"
ANTIDEPRESSAO - A REVOLUCIONARIA TERAPIA DO BEM-ESTAR,DAVID D. BURNS,"R$ 99,00","R$              49,50"
"ANTIGO REGIME E A REVOLUCAO, O",ALEXIS DE TOCQUEVILLE,"R$ 56,90","R$              28,45"
"APETITE DO BEM E A VONTADE, O",TOMAS DE AQUINO (SANTO),"R$ 52,00","R$              26,00"
APLICANDO A QUARTA REVOLUCAO INDUSTRIAL,KLAUS SCHWAB,"R$ 79,00","R$              39,50"
Apologia de Sócrates,PLATAO,"R$ 21,90","R$              10,95"
"Arte da Guerra, A - Edição completa bilíngue com os 13 capítulos originais",Sun Tzu,"R$ 53,90","R$              26,95"
"ARTE DE TER RAZAO , A",SCHOPENHAUER,"R$ 33,50","R$              16,75"
"Árvore do Yoga, A — O guia definitivo para yoga na vida diária",B. K. S. Iyengar,"R$ 55,00","R$              27,50"
Assim Falou Zaratustra,NIETZSCHE,"R$ 49,00","R$              24,50"
