"",,,,,"Lista delivros FestaVirtual dolivro da USP2021",
"",,,,,,
Título,ISBN,Autor,Preço Capa,Desc,,Preço com d
ESCUTA,,,,,,
Arte Nos Sonha. A Música Como Revelação E Inspiração Do Ser,9786559060047,Carlos Netto,"R$     120,00",50%,,"R$          60,00"
"Narcisismo De Vida, Narcisismo De Morte",9788571370036,André Green,"R$      112,00",50%,,"R$          56,00"
Espinosa,9788571371965,Gilles Deleuze,"R$       61,00",50%,,"R$          30,50"
Identificação e Enlaçamento Social,9788571372894,Genebaldo Freire Dias,"R$       50,00",50%,,"R$          25,00"
"Rumos da Psicanálise no Brasil, Os",9788571372122,Eliana Araújo Nogueira do Val,"R$       79,00",50%,,"R$          39,50"
Praticas Inclusivas I I,9788571374553,,"R$        92,00",50%,,"R$          46,00"
Falar em Público,9788571372221,Nazilde Santos Lôbo,"R$       66,00",50%,,"R$          33,00"
Conversa Sobre Terapia,9788571373686,Bilê Tatit Sapienza,"R$       46,00",50%,,"R$          23,00"
Vampiros e Lobisomens: o Híbrido,9788571374331,Fábio Ruiz Daró,"R$       41,00",50%,,"R$          20,50"
"Psicanálise, Linguística, Linguisteria",9788571372962,Sonia Borges,"R$     111,00",50%,,"R$          55,50"
Criar A Mente Psicanalítica,9788571374102,Fred Busch,"R$      111,00",50%,,"R$          55,50"
"Mosaico Da Depressão, Um",9788571372696,Maria Lopes Facó,"R$        59,00",50%,,"R$          29,50"
Mudanças No Relacionamento Afetivo - Sexual,9788571372245,Tânia da Gloria Nogueira,"R$       53,00",50%,,"R$          26,50"
Forças Do Destino,9788571374232,Christopher Bollas,"R$       99,00",50%,,"R$          49,50"
"Loucura Privada, A",9788571374119,,"R$      141,00",50%,,"R$          70,50"
Entre Duas Eternidades,9786559060078,Jose Calderoni,"R$       97,00",50%,,"R$          48,50"
"Que faz Laço, O",9788571374027,Colette Soler,"R$        61,00",50%,,"R$          30,50"
Encontro Com a Daseinsanalyse: A Obra Ser e Tempo de Heidegge,9 C7o8m85o7 F1u3n7d3a6m55ento da,Beirlaêp Tia tDita Ssaepiniesannzalítica,"R$       43,00",50%,,"R$          21,50"
Arthur um Autista no Seculo 19,9788571374539,Maria Cristina Kupfer,"R$        72,00",50%,,"R$          36,00"
"Pulsão De Morte, A",9788571370012,André Green,"R$       44,00",50%,,"R$          22,00"
Clínica Psicanalítica Em Face Da Dimensão Sociopolítica Do Sofri,"9e7n8to8,5 A71373983",Miriam Debieux Rosa,"R$        64,00",50%,,"R$          32,00"
Psicologia E Compromisso Social,9788571372870,Flávia Cristina Silveira Lemos,"R$      112,00",50%,,"R$          56,00"
Dialogos Psicanaliticos Contemporaneos Bion e Laplanche,9788571374478,Talya S. Candi,"R$     124,00",50%,,"R$          62,00"
"Aprendiz de Historiador e o Mesntre - Feiticeiro, O",9788571370210,Piera Aulagnier,"R$     114,00",50%,,"R$          57,00"
Psicanálise: Bases Neurofisiológicas,9788571372986,Osvaldo Marba Ribeiro,"R$      123,00",50%,,"R$          61,50"
"Repetição Na Experiência Analítica, A",9788571373419,Colette Soler,"R$       69,00",50%,,"R$          34,50"
"Sombra Do Objeto, A",9788571373679,Christopher Bollas,"R$      123,00",50%,,"R$          61,50"
Cata - Ventos,9788571372566,Paulina Schmidtbauer Rocha,"R$        87,00",50%,,"R$          43,50"
"Nome Da Gente, O",9788571373037,Maria Cecília Casagrande,"R$       81,00",50%,,"R$          40,50"
"Psicanálise em Situações Sociais Críticas, A: Metodologia Clínica e",I9n7t8er8v5e7n1ç3õ7e3s709,Jorge Broide,"R$       73,00",50%,,"R$          36,50"
Pesquisa Em Psicopatologia Fundamental,9788571372016,Edilene Freire de Queiroz,"R$       76,00",50%,,"R$          38,00"
"Psychoanalytic Quarterly, O: Artigos Contemporâneos de Psicanális",9 -7 V88o5l.721373839,Alberto M. da Rocha Barros Ne,"oR$       76,00",50%,,"R$          38,00"
"Supervisão Como Interrogante da Práxis Analítica, A",9788571374164,Vários autores,"R$       46,00",50%,,"R$          23,00"
Imigração Atual,9788571374225,Leda Maria de Oliveira Rodrigu,"esR$       73,00",50%,,"R$          36,50"
"Bulimia, A",9788571372160,Bernard Brusset,"R$       83,00",50%,,"R$          41,50"
Hysteria,9788571371651,Christopher Bollas,"R$      111,00",50%,,"R$          55,50"
"Psychoanalytic Quarterly - Vol. 1, O",9788571373822,Alberto Moniz da Rocha Barros,"NRe$to      118,00",50%,,"R$          59,00"
"Escritas do Odio, As",9788571374362,Miriam Debieux Rosa,"R$        98,00",50%,,"R$          49,00"
Melanie Klein: Estilo e Pensamento,9788571372269,Elisa Maria de Ulhoa Cintra,"R$        83,00",50%,,"R$          41,50"
Comunicação Interdisciplinar Na Educação,9788571372832,Ana Maria Ramos Sanchez Var,"llRa$        66,00",50%,,"R$          33,00"
"Encontros E Desencontros, Nada É Por Acaso!",9788571373136,Ana Maria Ramos Sanchez Var,"llRa$        72,00",50%,,"R$          36,00"
"Interprete em Busca de Sentido, Um - Vol.2",2000001567807,Piera Aulagnier,"R$        81,00",50%,,"R$          40,50"
Sexo,9788571371293,Rosely Sayão,"R$        43,00",50%,"R$          21,50"
"Interlocuções Sobre O Feminino Na Clínica, Na Teoria, Na Cultura",9788571372726,Helena M. F. M. Albuquerque,"R$     129,00",50%,"R$          64,50"
Reverie E Interpretação,9788571373402,Alberto Moniz da Rocha Barros,"NRe$to      105,00",50%,"R$          52,50"
Seminários De Zollikon,9788571374072,Medrad Boss,"R$        93,00",50%,"R$          46,50"
Por Detrás Da Tela,9788571372795,Yesmin Sarkis,"R$        59,00",50%,"R$          29,50"
Cruzamentos 2,9788571372382,Bárbara Conte,"R$        76,00",50%,"R$          38,00"
Encontro Transcultural: Subjetividade e Psicopatologia,9788571373167,Suzana Souza | Roseane Freitas,"ORr$g s . )    85,00",50%,"R$          42,50"
"Neurose Obsessiva Freud - Lacan, A",9786559060016,Urania Tourinho Peres,"R$        40,00",50%,"R$          20,00"
"Febem, Família E Identidade",9788571371439,Isabel da Silva Kahn Marin,"R$       54,00",50%,"R$          27,00"
Universo Psíquico,9788571372757,Nildo Viana,"R$        45,00",50%,"R$          22,50"
Autoritarismo Afetivo,9788571372450,CERQUEIRA FILHO,"R$        56,00",50%,"R$          28,00"
"Invenção Do Psicológico, A",9788571370548,Luís Cláudio Figueiredo,"R$        74,00",50%,"R$          37,00"
"Que É Diagnosticar Em Psiquiatria, O",9788571371798,Jorge J. Saurí,"R$        53,00",50%,"R$          26,50"
Iompostioma,9788571373440,Artur Matuck,"R$        30,00",50%,"R$          15,00"
Estruturação Psíquica E Subjetivação Da Criança Em Idade Escolar,9788571373303,Rodolfo Urribarri,"R$     120,00",50%,"R$          60,00"
História da Dor,9788571373204,Roselyne Rey,"R$      157,00",50%,"R$          78,50"
"Reflexôes Sobre Autismo, Enacment, Procriação, Fantasia, Brorderl",n9r7 8e 8O5u7t1tr3o7s3 T55em6 as - 1,V 2ARIAS,"R$      115,00",50%,"R$          57,50"
Kadmonvort: Habitantes do Terceiro Planeta,9788571373426,Artur Matuck,"R$        30,00",50%,"R$          15,00"
Sintoma em Lacan,9788571372719,Simara Rufatto Conde,"R$       40,00",50%,"R$          20,00"
"Hospitalidade, Da",9788571372092,Jacques Derrida,"R$        61,00",50%,"R$          30,50"
"Bebê na Creche, O",9788571374508,Daniela Bridon,"R$        59,00",50%,"R$          29,50"
Ser Criança,9786559060030,Duda Carvalho et al.,"R$       48,00",50%,"R$          24,00"
Ensaio Sobre As Pedofilias,9786559060061,Norton Cesar Dal Follo da Rosa,"JrR.$        33,80",50%,"R$          16,90"
Convênios Psicológicos e Psicoterapia Psicanalítica,9788571372863,BORTOLETTO,"R$        76,00",50%,"R$          38,00"
Merleau Ponty Filosofia Como Corpo e Existência,9788571370449,Paulo Sergio do Carmo,"R$        47,00",50%,"R$          23,50"
Controversias A Respeito De Enactment E Outros Trabalhos,9788571373006,Vários autores,"R$      115,00",50%,"R$          57,50"
"Arranjo E A Canção, O",9788571373600,Márcio Coelho,"R$        76,00",50%,"R$          38,00"
"Construção Da Parentalidade Em Mães Adolescentes, A",9788571373617,Maria Cecília Pereira da Silva,"R$       62,00",50%,"R$          31,00"
Do Desabrigo À Confiança,9788571372610,Bilê Tatit Sapienza,"R$       58,00",50%,"R$          29,00"
"Festa Tecnológica, A",9788575410660,Glaucia Dunley,"R$        90,00",50%,"R$          45,00"
Ataris Vort no Planeta Megga: Jornada Para Alpha Centauri,9788571373433,Artur Matuck,"R$        30,00",50%,"R$          15,00"
"Psicossomática, Final De Análise, Psicoterapia E Outros Estudos",9788571373297,Marilia Aisenstein,"R$      115,00",50%,"R$          57,50"
Declinações Da Angústia,9788571373181,Colette Soler,"R$      104,00",50%,"R$          52,00"
"Nome, Figura e Memória - A Linguagem na Situação Psicanalitica",9780001008458,Pierre Fédida,"R$        90,00",50%,"R$          45,00"
"Ouvido Do Analista E O Olho Do Crítico, O",9788571373549,Benjamin H. Ogden,"R$        67,00",50%,"R$          33,50"
Psicose: Uma Leitura Psicanalítica,9788571370302,Piera Aulagnier,"R$      103,00",50%,"R$          51,50"
Catástrofe e Representação,9788571371552,Arthur Nestrovski,"R$      103,00",50%,"R$          51,50"
"Duplo Limite, O",9788571372900,Talya Candi,"R$      120,00",50%,"R$          60,00"
"Sonhar, Dormir E Psicanalisar",9788571372740,Decio Gurfinkel,"R$      123,00",50%,"R$          61,50"
Memória Da Língua,9788571372474,Maria Onice Payer,"R$        95,00",50%,"R$          47,50"
Superego,9788571371989,Marta Rezende Cardoso,"R$        87,00",50%,"R$          43,50"
Bion em Nove Lições: Lendo Transformações,9788571373051,TAMBURRINO,"R$        64,00",50%,"R$          32,00"
Sublimação,9788571372641,Sissi Vigil Castiel,"R$        59,00",50%,"R$          29,50"
Quem Da Pátria Sai A Si Mesmo Escapa?,9788571372931,Daniela Meirelles Escobari,"R$       54,00",50%,"R$          27,00"
"Repetição Entre Recordação e Destino, A",9788571372948,IJPA,"R$      115,00",50%,"R$          57,50"
"Fim E O Começo, O",9788571373952,Izabel de Madureira Marques,"R$        69,11",50%,"R$          34,56"
