"Festa do Livro da USP - virtual 2021Edições Loyola",,,
ISBN,TÍTULO,AUTOR,PREÇO
9788515039302,100 dúvidas de fé,"PEREIRA, Antonio Aparecido","9,45"
9788515044696,"100 histórias em preto e branco - Contadas com todas as corespor sacerdotes","LUGO, Fernando David Morales","14,00"
9788515030033,101 problemas de filosofia,"COHEN, Martin","12,75"
9788515046270,20 + 1  lições para amar e ser feliz,"CADEDDU, Antonello Pe.","7,50"
9788515038459,30 dias com Santa Teresinha do Menino Jesus,KATER FILHO,"11,00"
9788515026876,300 propostas de artes visuais,"MACHADO, Maria Silvia Monteiro","39,00"
9788515044740,31 dias - O plano secreto de Deus,HAROLDO J. RAHM,"5,50"
9788515043989,31 dias à escuta do Deus vivo - Da tradição oral ao texto Bíblico,HAROLDO J. RAHM,"15,50"
9788515043286,31 dias no amor de Deus,RAUL PACHE DE PAIVA,"8,93"
9788515043354,365 - Como se forma um papa jesuíta,HAROLDO J. RAHM,"29,40"
9788515045358,365 dias com o Coração de Jesus,ELIOMAR RIBEIRO DE SOUSA,"7,00"
9788515044054,365 dias com o Papa Francisco,ELIOMAR RIBEIRO DE SOUSA,"7,00"
9788515044931,99 Parábolas,PACO SJ,"18,25"
9788515036998,"A ""Ética a Nicômaco"" de Aristóteles","WOLF, Ursula","32,55"
9788515045112,"A criança ansiosa: Compreender o medo do medo e devolver acoragem","DUMAS, Jean","20,00"
9788515045693,"A distância do olharG","SPAR, Francisco Augusto de Moraes Pr","ta33,00"
9788515034451,À espera da aurora - Um cristianismo para o amanhã,"DELUMEAU, Jean","12,78"
9788515021406,A espiritualidade do Coração de Jesus,ROQUE SCHNEIDER,"7,50"
9788515021727,A ética de Cristo,"CASTILLO, José Maria","39,50"
9786555040067,"A história religiosa de Israel - Desde a pré-história até osprimórdios do cristianismo","TILLY, Michael","26,00"
9788515045013,A insustentável totalidade do ser,"DELIO, Ilia","19,00"
9788515045877,A mensagem de Amoris Laetitia - Um debate amigável,"KASPER, Walter","5,00"
9788515045051,A nova evangelização,"DUMAIS, Marcel","11,00"
9788515042265,A reforma litúrgica (1948-1975),"BUGNINI, Annibale","99,00"
9788515035847,"A topologia do ser  Lugar, espaço e linguagem no pensamentode Martin Heideger","SARAMAGO, Ligia","22,93"
9788515028849,"A universidade comunitária: O que é, como se faz","VANNUCCHI, Aldo","8,05"
9788515046300,"A vida de cada dia - Cinco lições de filosofia para aprender aestar no mundo","CAFFO, Leonardo","8,00"
9788515031818,Aborto - O holocausto silencioso,"POWELL, John","12,60"
9788515039593,"Abraão no judaísmo, no cristianismo e no islamismo","BÖTTRICH, Christfried","24,25"
9788515041282,Abrir-se para Deus - A lectio divina e a vida como oração,"BENNER, David G.","12,50"
9788515046140,Acolher e se afastar - Relações nutritivas ou tóxicas,"FUKUMITSU, Karina Okajima","9,75"
9788515005918,"Acompanhamento vocacional - Coleção Cadernos Vocacionais31","LONDOÑO, Alejandro","2,63"
9788515002122,Acompanhamento vocacional - Um caminho,"CIGOÑA, José Ramón F. de la","4,38"
9788515042074,"Adão e Eva no judaísmo, no cristianismo e no islamismo","BÖTTRICH, Christfried","22,25"
9788515032174,Administração diocesana e paroquial,"DELAMÉA, Elenita","13,30"
9788515035960,"Admiração eucarística - Para uma mistagogia da missa à luz daencíclica ""Ecclesia de Eucharistia""","GIRAUDO, Cesare","12,43"
9788515039265,"Afetividade, aprendizagem e educação de jovens e adultos -Relatos de pesquisa na perspectiva de Henri Wallon","ALMEIDA, Laurinda Ramalho de","14,53"
9788515005765,Ajudar-se a si mesmo,"AUGER, Lucien","9,10"
9788515044993,"Alegria de crer, alegria de viver","VARILLON, François","24,00"
9788515041244,Alfabeto sagrado (O),"EISENBERG, Josy","40,25"
9788515034994,"Aliança e contrato - Política, ética e religião","CORTINA, Adela","14,70"
9788515041077,Alimente bem suas emoções,ISELA PALUMBO COMAROVSCHI SAVIO,"I24,00"
9788515045792,"Amar a vida, desejar a felicidade","JEDRZEJCZAK, Dom Guillaume","12,00"
9786555040166,"Amazônia, um lugar teológico - Comentário teológico-espiritual da exortação apostólica","SANTOS, Adelson Araújo dos","16,00"
9788515029945,Amor afetivo em família,"PEDRINI, Alírio José","6,30"
9788515023820,Amor-exigente - Espiritualidade - Uma nova vida,"DRUMMOND FILHO, Hélio Caetano","19,00"
9788515003761,"Amor-exigente - O que fazer quando seu filho se tornarevoltado, inconveniente ou viciado?","WACHTEL, Ted","23,50"
9788515014255,Amor-exigente para professores - Prevenção na escola,"MENEZES, Mara Silvia Carvalho de","12,75"
9788515044191,Análise crítica do pensamento fenomenológico de J.-L. Marion,"PUNTEL, Lorenz B.","9,00"
9788515039913,"Anaximandro de Mileto -  O nascimento do pensamentocientífico","ROVELLI, Carlo","20,13"
9788515043385,Ano com o Coração de Jesus (Um),"SALÉH, Elias José","8,00"
9788515045839,Ano litúrgico (O),"ADAM, Adolf","24,75"
