nVersos Editora,LISTA DE LIVROS,,
"","Festa Virtual do Livroda USP 2021",,
Título,Autor,"Preçode capa","P  reço comdesconto"
A BELA E A FERA,Sandra Trabucco Valenzuela,"R$         69,00","R$           31,05"
A CRIANÇA MONTESSORI,Simone Davies,"R$         59,90","R$           26,95"
A GAROTA DE BOSTON,Anita Diamante,"R$         46,00","R$           16,10"
"A MENINA QUE PENSAVA POR MEIO DEIMAGENS",Julia Finley,"R$         49,00","R$           17,15"
ALIMENTO PARA O CÉREBRO,Max Lugavere e Paul Grewal,"R$         54,00","R$           21,60"
"ANATOMIAS: OS UNIVERSOS DOCORPO HUMANO",Gilson Barreto e Rogerio Gozzi,"R$         59,00","R$           20,65"
ANTES TARDE DO QUE NUNCA,Rich karlgaard,"R$         49,00","R$           17,15"
BERNARDO E O SEGREDO DA,Flavia Reis,"R$         49,00","R$           22,05"
PCRAITNACSESSOAL DE CRISTAL,Flavia Reis,"R$         54,00","R$          18,90"
"CINEMA E PSIC. V.01  - A CRIACAO DODESEJO 2 ED.","Ana Lucília Rodrigues e ChristianIngo Lenz Dunker","R$         35,00","R$          14,00"
"CINEMA E PSIC. V.02 - A REALIDADE EO REAL 2 ED.","Ana Lucília Rodrigues e ChristianIngo Lenz Dunker","R$         35,00","R$           14,00"
"CINEMA E PSIC. V.03 - FILMES QUECURAM 2 ED.","Ana Lucília Rodrigues e ChristianIngo Lenz Dunker","R$         35,00","R$           14,00"
"CINEMA E PSIC. V.04-MONTAGEM EINTERPRETACAO 2 ED.","Ana Lucília Rodrigues e ChristianIngo Lenz Dunker","R$         35,00","R$           14,00"
"CINEMA E PSIC. V.05-HIST. GENERO ESEXUALID 2 ED.","Ana Lucília Rodrigues e ChristianIngo Lenz Dunker","R$         35,00","R$           14,00"
"CINEMA E PSIC. V.06 - AFETOS EMCENA 2 ED","Ana Lucília Rodrigues e ChristianIngo Lenz Dunker","R$         35,00","R$          14,00"
"CINEMA E PSIC. V.07 - CINEMA PÓS-COLONIAL","Ana Lucília Rodrigues e ChristianIngo Lenz Dunker","R$         35,00","R$           14,00"
"CINEMA E PSIC. V.08 - A TELA DOFEMININO AO FEMINI","Ana Lucília Rodrigues e ChristianIngo Lenz Dunker","R$         35,00","R$          14,00"
"COMO CONVERSAR COM CRIANCASPEQUENAS",Joanna Faber e Julie King,"R$         52,00","R$          20,80"
COMO EDUCAR MENINOS,Michael C. Reichert,"R$         50,00","R$          20,00"
COMO SER FELIZ NO MEU TRABALHO?,Ron Friedman,"R$         50,00","R$          17,50"
"CONSTRUINDO ESPAÇOS DEACOLHIMENTO","Isabel Cristina de Moura, JéssicaVilar Dugacsek e Mariana CorreaFernandes","R$         40,00","R$           16,00"
DE PAI PARA FILHOS,Meg Meeke,"R$         42,00","R$          14,70"
DEFINA LIMITES,Nedra Tawwab Glover,"R$         54,00","R$          24,30"
DESENHANDO COM O LADO DIREITO,Betty Edwards,"R$         69,00","R$           31,05"
DISCIPLINA SEM DRAMA,Daniel Siegel e Tina Payne Bryson,"R$         54,00","R$          24,30"
"ESTUDOS DAS MASCULINIDADES NAEDUCAÇÃO FÍSICA E NO ESPORTE","Fabiano Devide e Leandro Teofilode Brito","R$         49,00","R$          22,05"
FILHOS ADULTOS DE PAIS,Lindsay C. Gibson,"R$         54,00","R$           24,30"
FOLHAS DE RELVA,Walt Whitman,"R$         59,00","R$          22,05"
GENERO EM TERMOS REAIS,Raewyn Connell,"R$         59,00","R$           23,60"
HISTERIA & GÊNERO,Pedro Ambra e Nelson da Silva Jr.,,
"IGEN POR QUE AS CRIANÇASSUPERCONECTADAS",Jean M. Twenge,"R$         54,00","R$           24,30"
