TÍTULO,AUTOR PREÇO,DESCONT
100 nomes da edição no Brasil,"Neto, Leonardo 64,00","R$ 32,00"
69 poemas,"do Julinho, Adelaide; Ivánova, Adelaide; Domi6n5g,u0e0s, AnRa$ B 3e2a,t5r0iz",
A História brasileira na ficção do século XIX,"Motta, Paulo 64,00","R$ 32,00"
A História portuguesa na narrativa oitocentista de Herculano ao fin-de-siècle,"Motta, Paulo 64,00","R$ 32,00"
A primeira morte,"Ferreira, Maíra 28,00","R$ 14,00"
Alice e outras mulheres,"Gersão, Teolinda 54,90","R$ 27,45"
Ato poético,"Tiburi, Márcia; Maffei, Luis (org) 40,00","R$ 20,00"
Box 40 anos de vida literária,"Gersão, Teolinda 89,00","R$ 44,50"
Cidade feminista,"Kern, Leslie 55,00","R$ 27,50"
Contos de Sala de Aula,"Beauclair, Marcelo; Gradim, Filipi; Nascimento2, 9L,u9c0ianoR; B$r 1ito4 ,S95o",
Cultura da paz,"Lucchesi, Marco 58,00","R$ 29,00"
Dez Campos,"Silveira, Jorge Fernandes da 25,00","R$ 12,50"
Epaminondas Goiabeira e a Máquina da Felicidade,"Braz, Júlio Emílio 34,00","R$ 17,00"
Histórias de cego,"Lima, Marcos 39,90","R$ 19,95"
Leituras de Cervantes e Releituras do Quixote,"30,00","R$ 15,00"
Memórias de Darucha,"Lozov, Maria 35,00","R$ 17,50"
"Mulher, empoderamento e legado","Mello, Silvana 39,00","R$ 19,50"
Não é bem assim a história,"Ramos, Anna Claudia 22,00","R$ 11,00"
O jogo da democracia,"Pimentel, Aldenor 42,00","R$ 21,00"
O romance histórico de Camilo Castelo Branco,"Motta, Paulo 64,00","R$ 32,00"
O sexo segundo Maïa,"Mazaurette, Maïa 64,00","R$ 32,00"
"Oh, Margem! Reinventa os rios!","da Silva, Cidinha 40,00","R$ 20,00"
Poemas e Contos,"Espanca, Florbela 30,00","R$ 15,00"
Por que eu não consigo gostar dele/dela?,"Ramos, Anna Claudia; Schimeneck, Antônio 48,00","R$ 24,00"
Pulsatilla,"Maffei, Luis 30,00","R$ 15,00"
Quatro dias na vida de Joel,"Vasconcellos, Victor 40,00","R$ 20,00"
Que corpo é esse?,"Xavier, Elódia 59,00","R$ 29,50"
Relações luso-brasileiras,"Santos, Gilda 45,00","R$ 22,50"
Religião e outras insanidades,"Pincerno, Miguel 42,00","R$ 21,00"
Retalhos,"Marques, Jorge 40,00","R$ 20,00"
Tempo e narrativa contemporâneas,"Viegas, Ana Claudia 20,00","R$ 10,00"
Tradução: limiares e caminhos,"Mayara, Guimarães 30,00","R$ 15,00"
Transliteraturas,"Marques, Jorge 54,00","R$ 27,00"
Vamos falar das Cianinhas?,"Oliveira, Marisa 40,00","R$ 20,00"
