ISBN,Título,Autor,Preço Capa,Preço USP
9788564311381,Agora chega!,Barney Saltzberg,"44,00","22,00"
9788564311336,Aniversário da vaca Mimosa,Alexander Steffensmeier,"52,00","26,00"
9788564311664,Breathe,Inês Castel-Branco,"56,00","28,00"
9788564311732,"Contadora de histórias e outros contos de encantar, A",Clara Haddad,"48,00","24,00"
9788564311442,De que cor são os beijos?,Rocio Bonilla,"48,00","24,00"
9788564311435,De que cor são os beijos? Livro Grande,Rocio Bonilla,"54,00","27,00"
9788564311411,Dentro da caixa maravilhosa: viagem ao interior da vida,Salvador Macip,"58,00","29,00"
9788564311473,Developing Intercultural Perspectives on Language Use,"McConachy, Troy","89,00","44,50"
9788564311701,Diário de uma garota como você,Maria Inês Almeida,"42,00","21,00"
9786586106152,Diário de uma garota como você cabeça nas nuvens,Maria Inês Almeida,"42,00","21,00"
9788564311725,Diário de uma garota como você Férias,Maria Inês Almeida,"42,00","21,00"
9786586106145,Diário de uma garota como você Sem pés nem cabeça,Maria Inês Almeida,"42,00","21,00"
9786586106176,"Diário de uma garota como você Tique, taque, toque",Maria Inês Almeida,"42,00","21,00"
9786586106121,Diário de uma garota como você Volta às aulas,Maria Inês Almeida,"42,00","21,00"
9788564311510,Early Language Learning,"Enever, Janet; Lindgren, Eva","117,00","58,50"
9788564311589,English Language Teaching in South America,"Kamhi-Stein, Lía; Maggioli, Gabriel; Ol","veira, L9u3c,i0a0n","46,50"
9788564311398,Eu compro,Canizales,"48,00","24,00"
9786586106138,"Eu, Tu e o truque",Selma Maria Kuasne,"58,00","29,00"
9786586106077,Ghostly whisper - Mind Reader,Pete Johnson,"42,00","21,00"
9788564311459,"Gota de água, A",Inês Castel-Branco,"54,00","27,00"
9786586106053,How to fool your parents,Pete Johnson,"49,00","24,50"
9786586106039,How to update your parents,Pete Johnson,"49,00","24,50"
9786586106046,I need I new bum!,Dawn McMillan,"48,00","24,00"
9788564311657,I'll buy it,Canizales,"48,00","24,00"
9788564311695,Isto não é uma selva,Susanna Isern,"54,00","27,00"
9786586106084,I've broken my bum!,Dawn McMillan,"48,00","24,00"
9786586106169,João Pede Feijão,Bruno Bomfim Bioza,"58,00","29,00"
9788564311558,Key Topics in Second Language Acquisition,"Cook, Vivian; Singleton, David","74,00","37,00"
9788564311565,Language Learner Autonomy,"Little, David; Dam, Leni; Legenhausen,","Lienhar9d8,00","49,00"
9788564311602,Learning Foreign Languages in Primary School,"Mayo, María del Pilar G.","106,00","53,00"
9786586106404,Let's swing?,Fernanda Oliveira,"48,00","24,00"
9788564311404,"Melhor livro do mundo, O",Canizales,"58,00","29,00"
9786586106091,Mimosa à espreita,Alexander Steffensmeier,"58,00","29,00"
9786586106381,Mimosa está doente,Alexander Steffensmeier,"58,00","29,00"
9786586106114,Mimosa não consegue dormir,Alexander Steffensmeier,"58,00","29,00"
9786586106374,Mimosa não quer tomar banho,Alexander Steffensmeier,"58,00","29,00"
9788564311374,Minhas rodinhas,Sébastien Pelon,"58,00","29,00"
9788564311688,"Mundo disse sim, O",Kaia Dahle Nyhus,"58,00","29,00"
9786586106022,My parents are driving me crazy,Pete Johnson,"49,00","24,50"
9788564311572,New Perspectives on Translanguaging and Education,"Paulsrud, BethAnne; Rosén, J.; Straszer,","B; Wed8in7, 0A0","43,50"
9788564311329,Nhac,Canizales,"58,00","29,00"
9786586106183,O que é que o crocodilo come ao meio-dia?,Clara Haddad,"68,00","34,00"
9786586106060,"Olá, cidade!",Anna Fiske,"58,00","29,00"
9788564311633,Para contar na cama,Daniela Kulot,"48,00","24,00"
9788564311541,Positive Psychology in SLA,"MacIntyre, P.; Gregersen, T.; Mercer, S.","142,00","71,00"
9788564311367,Preciso de um novo bumbum,Dawn McMillan,"46,00","23,00"
9788564311480,Preparing Teachers to Teach English as an International Language,"Matsuda, Aya","98,00","49,00"
9788564311350,Que horas são?,Daniela Kulot,"64,00","32,00"
9786586106107,Quebrei meu bumbum!,Dawn McMillan,"46,00","23,00"
9786586106411,Rentchin,Rodrigo Elias Oliveira,"58,00","29,00"
9788564311671,Respira,Inês Castel-Branco,"56,00","28,00"
9788564311718,Supercrianças,Anya Damirón,"58,00","29,00"
9786586106008,Superhero - Mind Reader,Pete Johnson,"42,00","21,00"
9788564311497,Teaching Intercultural Competence Across the Age Range,"Wagner, M.; Perugini, D.; Byram, M.","89,00","44,50"
9788564311596,The Assessment of Emergent Bilinguals,"Mahoney, Kate","92,00","46,00"
9786586106015,The crystal - Mind Reader,Pete Johnson,"42,00","21,00"
9788564311343,Todos juntos!,Daniela Kulot,"48,00","24,00"
9788564311640,Ursinho procura seus sete amigos,Daniela Kulot,"58,00","29,00"
9786586106398,Vamos balançar?,Fernanda Oliveira,"48,00","24,00"
9788564311626,"Você está entediada, Minimoni?",Rocio Bonilla,"54,00","27,00"
9786586106190,What does a crocodile eat for lunch?,Clara Haddad,"68,00","34,00"
