Titulo,Autor,Preço de capa,Preço na feira
ESQUELETO NA LAGOA VERDE,Antonio Callado,47.90,23.95
LICOES DE VIDA: FREUD,Brett Kahr,37.90,18.95
LA VEM TODO MUNDO,Clay Shirky,52.90,26.45
SHAKESPEARE E A ECONOMIA,Gustavo H.B. Franco,52.90,26.45
"DESCOBERTA DA AMERICA PELOS TURCOS, A",Jorge Amado,47.90,23.95
AO SOM DO MAR E A LUZ DO CEU PROFUNDO,Nelson Motta,62.90,31.45
SANTO AGOSTINHO EM 90 MINUTOS,Paul Strathern,37.90,18.95
RESPIRACAO ARTIFICIAL - BOLSO,Ricardo Piglia,32.90,16.45
TODO CUIDADO E POUCO,Roger Mello,44.90,22.45
ALADIM,Rosalind Kerven,52.90,26.45
PARA LER NA ESCOLA - CRONICAS - RUY CASTRO,Ruy Castro,47.90,23.95
"CANARINHO, CACHORRAO E A TIGELA DE RACAO",Sylvia Orthof,34.90,17.45
ENTRE OS FIEIS,V. S. Naipaul,87.90,43.95
"NATIMORTO, O",Lourenço Mutarelli,49.90,24.95
AVENTURAS NO MARXISMO,Marshall Berman,64.90,32.45
"MENINA QUE SE APAIXONAVA, A",Marta Góes,39.90,19.95
FILOSOFIA: NOVAS RESPOSTAS PARA ANTIGAS QUESTOES,Nicholas Fearn,72.90,36.45
"HOMEM QUE MATOU O ESCRITOR, O",Sérgio Rodrigues,42.90,21.45
JOSEPH FOUCHE,Stefan Zweig,62.90,31.45
PESADELOS E PAISAGENS NOTURNAS I - NOVA EDICAO,Stephen King,64.90,32.45
"AMANTE DO VULCAO, O",Susan Sontag,77.90,38.95
ROSTOS NA MULTIDAO,Valeria Luiselli,42.90,21.45
ARTE MODERNA / GIULIO CARLO ARGAN,Giulio Carlo Argan,242.90,121.45
A TEORIA COMO PROJETO,Guilherme Bueno,42.90,21.45
"LENTIDAO, A - BOLSO",Milan Kundera,34.90,17.45
CEMITERIO DE INDIGENTES,Patricia Cornwell,64.90,32.45
WITTGENSTEIN EM 90 MINUTOS,Paul Strathern,37.90,18.95
MUITO TARDE,Camilla Engman,54.90,27.45
"DIA DA CORUJA, O",Leonardo Sciascia,44.90,22.45
HISTORIA E CULTURA,Marshall Sahlins,92.90,46.45
SCHILLER & A CULTURA ESTETICA,Ricardo José Correa Barbosa,42.90,21.45
COMUNIDADE,Zygmunt Bauman,59.90,29.95
COMO OUVIR AS CRIANCAS,Claude Halmos,52.90,26.45
ESSENCIAL JORGE AMADO,Jorge Amado,44.90,22.45
"FACE DA GUERRA, A",Martha Gellhorn,69.90,34.95
MONICA E DALTONICA,Mauricio de Sousa,44.90,22.45
"AVESSO DA VIDA, O - BOLSO",Philip Roth,39.90,19.95
BRASIL DE TODOS OS SANTOS,Ronaldo Vainfas,42.90,21.45
UMA TRISTEZA INFINITA,Antônio Xerxenesky,64.90,32.45
"GUERRA DOS MUNDOS, A",H.G. Wells,54.90,27.45
LINHA M,Patti Smith,47.90,23.95
"ULTIMO LEITOR, O",Ricardo Piglia,54.90,27.45
"VERAO SEM HOMENS, O",Siri Hustvedt,54.90,27.45
"GARRAS DO LEOPARDO, AS",Chinua Achebe,42.90,21.45
PEROLA IMPERFEITA,Lilia Moritz Schwarcz,107.90,53.95
AS PEQUENAS VIRTUDES,Natalia Ginzburg,44.90,22.45
LE FREAK,Nile Rodgers,62.90,31.45
DESERTOS,Roseana Murray,47.90,23.95
"FILHA DO COVEIRO, A",Joyce Carol Oates,89.90,44.95
BERENICE PROCURA,Luiz Alfredo Garcia-Roza,54.90,27.45
KASCHTANKA E OUTRAS HISTÓRIAS DE TCHEKHOV,Anton Tchekhov,37.90,18.95
EXPLOSAO FEMINISTA,Heloisa Buarque de Hollanda,72.90,36.45
AMSTERDAM,Ian McEwan,54.90,27.45
"INVASOR, O",Marçal Aquino,32.90,16.45
TEMPESTADE DE RITMOS,Ruy Castro,74.90,37.45
IMPERIOS DA COMUNICACAO,Tim Wu,92.90,46.45
RIMAS DA VIDA E DA MORTE,Amós Oz,47.90,23.95
"NEGOCIO DO BRASIL, O - BOLSO",Evaldo Cabral de Mello,37.90,18.95
"NUMERO DEPOIS DO OUTRO, UM",José Paulo Paes,39.90,19.95
"CASTELO DO PRINCIPE SAPO, O",Jostein Gaarder,44.90,22.45
DIARIO DA SELECAO,Kiera Cass,37.90,18.95
CRONICAS ESCOLHIDAS,Machado de Assis,42.90,21.45
"INTERESSANTE ILHA DUKONTRA, A",Marcelo Cipis,44.90,22.45
"SEGREDO DO RIO, O",Miguel Sousa Tavares,44.90,22.45
O CARTEIRO ENCOLHEU!,Allan Ahlberg,59.90,29.95
LUGARES DISTANTES,Andrew Solomon,82.90,41.45
LINA E O BALAO,Komako Sakai,54.90,27.45
"JOVEM STALIN, O",Simon Sebag Montefiore,87.90,43.95
MAX WEBER: UMA INTRODUCAO,Stephen Kalberg,62.90,31.45
"FLORESTA E O ESTRANGEIRO, A",Alexandre Martins,44.90,22.45
AFTER (EDICAO TIE-IN),Anna Todd,44.90,22.45
A CRISE DO ISLA,Bernard Lewis,52.90,26.45
"DESEJO SELVAGEM, UM",Sylvia Day,39.90,19.95
"BAGAGEM DO VIAJANTE, A",José Saramago,54.90,27.45
VIDA EM FRAGMENTOS,Zygmunt Bauman,97.90,48.95
MEU PASSADO ME CONDENA,Tati Bernardi,37.90,18.95
"AMANTE DETALHISTA, O",Alberto Manguel,54.90,27.45
"FLORESTA SOMBRIA, A",Cixin Liu,67.90,33.95
OS TRES PORQUINHOS,Chiara Carrer,54.90,27.45
ISMAEL E CHOPIN,Miguel Sousa Tavares,44.90,22.45
44 CARTAS DO MUNDO LIQUIDO MODERNO,Zygmunt Bauman,69.90,34.95
AOS QUATRO VENTOS,Ana Maria Machado,44.90,22.45
"ADEUS, CHAMIGO BRASILEIRO",André Toral,64.90,32.45
"CHEFAO DOS CHEFOES, O",Vito Bruschini,77.90,38.95
"SILENCIO DO TUMULO, O",Arnaldur Indridason,49.90,24.95
NA MULTIDAO,Luiz Alfredo Garcia-Roza,54.90,27.45
CULTURAS JOVENS,Maria Isabel Mendes de Almeida,72.90,36.45
"VERDADEIRA HISTORIA DO ALFABETO, A",Noemi Jaffe,49.90,24.95
"ESCOLHA DOS TRES, A",Stephen King,72.90,36.45
PARA UMA MENINA COM UMA FLOR,Vinicius de Moraes,59.90,29.95
"ARTISTA DO CORPO, A",Don DeLillo,47.90,23.95
CINEMATOGRAFO DE LETRAS,Flora Süssekind,54.90,27.45
A INDIVIDUALIDADE NUMA EPOCA DE INCERTEZAS,Rein Raud,72.90,36.45
"OBSCENA SENHORA D, A",Hilda Hilst,44.90,22.45
PAI NAO FUI EU,Ilan Brenman,44.90,22.45
TODOS CONTRA DANTE,Luís Dill,42.90,21.45
BALA NA AGULHA,Marcelo Rubens Paiva,54.90,27.45
O DUELO DOS NEUROCIRURGIOES,Sam Kean,82.90,41.45
VOVO VERDE,Lane Smith,42.90,21.45
D. JOAO VI,Jorge Pedreira,87.90,43.95
A ARTE DA VIDA,Zygmunt Bauman,69.90,34.95
VOZES NO PARQUE,Anthony Browne,54.90,27.45
"LEAO TEM DOR DE GARGANTA, O",Livia Garcia-Roza,44.90,22.45
VICIOS PRIVADOS BENEFICIOS PUBLICOS (EDICAO DE BOLSO),Eduardo Giannetti,39.90,19.95
O QUE E COSMOLOGIA?,Mário Novello,72.90,36.45
AMOR,Maria de Lourdes Alves Borges,42.90,21.45
A CANCAO BRASILEIRA,Santuza Cambraia Naves,72.90,36.45
GRANDES SIMIOS,Will Self,77.90,38.95
TROMBA TROMBA,David Mckee,44.90,22.45
EM BUSCA DO BOROGODO PERDIDO,Joaquim Ferreira dos Santos,54.90,27.45
MORTE EM PEMBERLEY,P. D. James,59.90,29.95
"DAMA DO LAGO, A",Raymond Chandler,47.90,23.95
"AMOR E PROSA, SEXO E POESIA",Arnaldo Jabor,54.90,27.45
"CRISTAOS E A QUEDA DE ROMA, OS",Edward Gibbon,27.90,13.95
JARDIM DA LUZ,Bob Wolfenson,187.90,93.95
ESCONDERIJO,Heloisa Prieto,42.90,21.45
